Archivo,FC esperada (bpm),FC estimada (bpm)
raw_data_91_91.csv,91,91.91
raw_data_92_76.csv,76,83.5
raw_data_93_100.csv,100,76.34
raw_data_95_77_2.csv,2,81.35
raw_data_95_80.csv,80,76.18
raw_data_95_81_papa.csv,81,81.07
raw_data_95_99.csv,99,95.12
raw_data_96_106.csv,106,66.77
raw_data_96_69.csv,69,71.07
raw_data_97_119.csv,119,73.87
raw_data_97_95.csv,95,95.25
raw_data_98_81.csv,81,80.65
raw_data_98_86.csv,86,85.97
raw_data_98_91.csv,91,99.59
raw_data_99_75.csv,75,74.48
raw_data_99_91.csv,91,82.05
