Archivo,FC esperada (bpm),FC estimada (bpm)
raw_data_91_91.csv,91,93.17
raw_data_92_76.csv,76,83.01
raw_data_93_100.csv,100,92.85
raw_data_95_77_2.csv,2,77.28
raw_data_95_80.csv,80,72.06
raw_data_95_81_papa.csv,81,79.58
raw_data_95_99.csv,99,97.65
raw_data_96_106.csv,106,105.98
raw_data_96_69.csv,69,70.49
raw_data_97_119.csv,119,116.85
raw_data_97_95.csv,95,94.49
raw_data_98_81.csv,81,81.19
raw_data_98_86.csv,86,86.12
raw_data_98_91.csv,91,91.08
raw_data_99_75.csv,75,75.92
raw_data_99_91.csv,91,82.82
