Archivo,FC esperada (bpm),FC estimada (bpm)
raw_data_91_91.csv,91,93.53
raw_data_92_76.csv,76,83.8
raw_data_93_100.csv,100,97.4
raw_data_95_77_2.csv,2,80.11
raw_data_95_80.csv,80,72.82
raw_data_95_81_papa.csv,81,80.05
raw_data_95_99.csv,99,96.08
raw_data_96_106.csv,106,103.09
raw_data_96_69.csv,69,68.65
raw_data_97_119.csv,119,116.28
raw_data_97_95.csv,95,94.79
raw_data_98_81.csv,81,80.11
raw_data_98_86.csv,86,85.71
raw_data_98_91.csv,91,91.19
raw_data_99_75.csv,75,75.0
raw_data_99_91.csv,91,80.11
