Tiempo (ms);IR;AMB_IR;RED;AMB_RED
0;0;0;64734;0
0;0;0;64734;6632
1;62357;0;64734;6632
1;62357;6659;64734;6632
2;62357;6659;65521;6632
2;62357;6659;65521;6647
13;62436;6744;65521;6724
13;62436;6765;65521;6724
14;62436;6765;65521;6724
14;62436;6765;65521;6741
15;62436;6765;65521;6741
15;62453;6783;65521;6741
26;62528;6866;65521;6828
26;62528;6866;65521;6843
27;62543;6866;65521;6843
27;62543;6881;65521;6843
28;62543;6881;65521;6843
38;62597;6938;65521;6915
39;62602;6938;65521;6915
39;62602;6941;65521;6915
40;62602;6941;65521;6915
40;62602;6941;65521;6923
41;62602;6941;65521;6923
51;62633;6982;65521;6951
52;62633;6982;65521;6951
52;62633;6982;65521;6953
53;62633;6982;65521;6953
53;62628;6982;65521;6953
53;62628;6986;65521;6953
64;62649;7029;65521;7000
65;62649;7029;65521;7000
65;62648;7032;65521;7000
65;62648;7032;65521;7000
66;62648;7032;65521;7005
77;62660;7053;65521;7032
77;62670;7063;65521;7032
78;62670;7063;65521;7032
78;62670;7063;65521;7037
78;62670;7063;65521;7037
79;62671;7063;65521;7037
90;62739;7125;65521;7087
90;62739;7125;65521;7089
91;62739;7125;65521;7089
91;62741;7125;65521;7089
91;62741;7124;65521;7089
92;62741;7124;65521;7089
103;62793;7174;65521;7139
103;62804;7179;65521;7139
103;62804;7179;65521;7139
104;62804;7179;65521;7147
104;62804;7179;65521;7147
115;62862;7212;65521;7180
116;62862;7212;65521;7180
116;62862;7212;65521;7195
116;62862;7212;65521;7195
117;62884;7212;65521;7195
117;62884;7232;65521;7195
128;63012;7337;65521;7315
128;63012;7337;65521;7315
129;63034;7337;65521;7315
129;63034;7365;65521;7315
130;63034;7365;65521;7315
141;63216;7508;65521;7493
141;63257;7540;65521;7493
141;63257;7540;65521;7493
142;63257;7540;65521;7527
142;63257;7540;65521;7527
143;63298;7540;65521;7527
153;63491;7721;65521;7678
154;63491;7721;65521;7710
154;63491;7721;65521;7710
155;63536;7721;65521;7710
155;63536;7756;65521;7710
166;63720;7901;65521;7881
166;63720;7901;65521;7881
167;63752;7901;65521;7881
