Tiempo (ms),IR,AMB_IR,RED,AMB_RED
0,0,0,65521,0
16,65521,58477,65521,65521
33,65521,56832,65521,65451
50,65521,54978,65521,63605
66,65521,52749,65521,61248
83,65521,49956,65521,58893
100,65521,47206,65521,56355
116,65521,44227,65521,53203
133,65521,40306,65521,49939
150,65521,36306,65521,46192
166,65521,32894,65521,42607
183,65521,30481,65521,40574
200,65521,31753,65521,41485
216,65521,37331,65521,47332
233,65521,46008,65521,54569
250,65521,54316,65521,62368
267,65521,61061,65521,65521
283,65521,65521,65521,65521
300,65521,65521,65521,65521
317,65521,65521,65521,65521
333,65521,65521,65521,65521
350,65521,65521,65521,65521
367,65521,65521,65521,65521
383,65521,65521,65521,65521
400,65521,65521,65521,65521
417,65521,65521,65521,65521
433,65521,65521,65521,65521
450,65521,65521,65521,65521
467,65521,65521,65521,65521
483,65521,65521,65521,65521
500,65521,65521,65521,65521
517,65521,65521,65521,65521
533,65521,65521,65521,65521
550,65521,65521,65521,65521
567,65521,65521,65521,65521
583,65521,65521,65521,65521
600,65521,65521,65521,65521
617,65521,65521,65521,65521
633,65521,65521,65521,65521
650,65521,65521,65521,65521
667,65521,65521,65521,65521
683,65521,65521,65521,65521
700,65521,65521,65521,65521
717,65521,65521,65521,65521
733,65521,65521,65521,65521
750,65521,65292,65521,65521
767,65521,62037,65521,65521
783,65521,55284,65521,64093
800,65521,49400,65521,57789
817,65521,40547,65521,49250
833,65521,24808,65521,36121
850,65521,9028,65521,19499
867,65521,63500,65521,9613
883,65521,10268,65521,20671
900,65521,13327,65521,24150
917,65521,4488,65521,15331
933,65521,51408,65521,65093
950,65521,36566,65521,49394
967,65521,31596,65521,45083
983,65521,29183,65521,43044
999,65521,25121,65521,39399
1016,65521,20717,65521,35074
1033,65521,19962,65521,34275
1049,65521,21774,65521,35833
1066,65521,26182,65521,39956
1083,65521,27550,65521,41255
1099,65521,27093,65521,40712
1116,65521,26285,65521,40058
1133,65521,24329,65521,37848
1149,65521,22604,65521,36267
1166,65521,21475,65521,35128
1183,65521,18949,65521,32918
1199,65521,17165,65521,31596
1216,65521,14309,65521,28810
1233,65521,14056,65521,28661
1249,65521,13996,65521,28563
1266,65521,13596,65521,28027
1283,65521,13368,65521,27703
1299,65521,13276,65521,27535
1316,65521,13258,65521,27462
1333,65521,12762,65521,26913
1349,65521,12348,65521,26538
1366,65521,12098,65521,26179
1383,65521,11746,65521,25796
1399,65521,11490,65521,25557
1416,65521,11362,65521,25410
1433,65521,11304,65521,25310
1449,65521,11298,65521,25292
1466,65521,8666,65521,17404
1483,65521,8521,65521,14948
1499,59010,8669,65521,11544
1516,33654,8890,65521,9191
1533,17117,8820,65521,8743
1549,6449,8530,65521,8506
1566,63871,8074,65521,8008
1583,57815,7661,65521,7604
1599,53837,7261,64554,7255
1616,51277,7041,57138,7006
1633,49452,6825,53008,6800
1649,48450,6632,50349,6615
1666,47898,6500,48830,6480
1683,47647,6485,48251,6461
1699,47405,6481,47438,6465
1716,46875,6501,45753,6489
1733,45994,6542,43594,6521
1749,45017,6551,41027,6532
1766,43890,6440,37778,6418
1783,42641,6339,34955,6315
1799,41718,6252,32880,6245
1816,40993,6202,30640,6180
1833,40279,6138,28819,6127
1849,39787,6081,27409,6064
1866,39574,6042,26443,6014
1883,39566,6030,26153,6010
1899,39729,6037,26309,6026
1916,39956,6070,26765,6056
1933,40365,6088,27589,6084
1949,40810,6126,28876,6106
1966,41302,6156,30191,6147
1983,41910,6221,31633,6207
2000,42524,6276,33326,6265
2015,43177,6341,34762,6314
2032,43865,6418,36695,6392
2049,44323,6539,37706,6544
2065,44828,6746,38666,6715
2082,45262,7002,39464,7004
