Tiempo (ms);IR;AMB_IR;RED;AMB_RED
0;0;0;63493;0
0;0;0;63493;438
1;31262;0;63493;438
1;31262;448;63493;438
2;31262;448;64243;438
2;31262;448;64243;362
13;31195;356;64448;335
13;31195;350;64448;335
14;31195;350;64450;335
14;31195;350;64450;336
15;31195;350;64450;336
15;31192;350;64450;336
15;31192;347;64450;336
26;31068;211;64327;219
27;31068;211;64327;219
27;31163;308;64327;219
28;31163;308;64327;219
28;31163;308;64442;305
28;31163;308;64442;305
39;31421;512;64696;511
40;31421;512;64696;511
40;31421;512;64688;456
40;31421;512;64688;456
41;31346;512;64688;456
41;31346;437;64688;456
52;31267;353;64570;336
52;31267;353;64570;336
53;31276;353;64570;336
53;31276;345;64570;336
54;31276;345;64566;336
54;31276;345;64566;332
65;31145;298;64538;223
65;31145;208;64538;223
66;31145;208;64454;223
66;31145;208;64454;216
67;31242;208;64454;216
67;31242;306;64454;216
68;31242;306;64573;216
78;31463;491;64832;508
79;31498;491;64832;508
79;31498;509;64832;508
80;31498;509;64822;508
80;31498;509;64822;460
81;31498;509;64822;460
91;31346;348;64698;328
92;31346;348;64716;328
92;31346;348;64716;333
93;31346;348;64716;333
93;31355;345;64716;333
94;31355;345;64716;333
104;31360;291;64695;215
105;31240;291;64695;215
105;31240;195;64695;215
106;31240;195;64615;215
106;31240;195;64615;200
107;31240;195;64615;200
117;31575;477;64841;395
118;31575;477;65017;395
118;31575;477;65017;493
119;31575;477;65017;493
119;31604;477;65017;493
119;31604;491;65017;493
130;31454;318;64920;306
131;31454;318;64920;306
131;31470;321;64920;306
132;31470;321;64920;306
132;31470;321;64935;306
132;31470;321;64935;306
143;31494;264;65084;332
144;31494;264;65084;332
144;31494;264;64959;196
144;31494;264;64959;196
145;31378;264;64959;196
145;31378;173;64959;196
156;31552;304;65092;360
156;31552;304;65092;360
157;31711;304;65092;360
157;31711;451;65092;360
158;31711;451;65292;360
158;31711;451;65292;460
169;31582;256;65097;249
169;31582;286;65097;249
170;31582;286;65150;249
170;31582;286;65150;269
171;31588;286;65150;269
171;31588;294;65150;269
182;31728;371;65263;390
182;31728;371;65263;300
183;31611;371;65263;300
183;31611;239;65263;300
184;31611;239;65122;300
184;31611;239;65122;164
195;31647;284;65208;255
195;31647;277;65208;255
196;31647;277;65207;255
196;31647;277;65207;346
197;31647;277;65207;346
197;31796;418;65207;346
208;31609;240;65175;152
208;31609;240;65175;239
209;31646;240;65175;239
209;31646;273;65175;239
210;31646;273;65175;239
210;31646;273;65207;267
221;31771;443;65382;388
221;31771;375;65382;388
222;31771;375;65299;388
222;31771;375;65299;302
223;31771;375;65299;302
223;31652;375;65299;302
234;31678;288;65228;270
234;31678;288;65228;271
235;31678;288;65228;271
235;31668;282;65228;271
235;31668;282;65228;271
236;31668;282;65230;271
247;31540;145;65079;155
247;31627;242;65079;155
248;31627;242;65079;155
248;31627;242;65196;246
248;31627;242;65196;246
249;31665;242;65196;246
260;31864;448;65419;449
260;31864;448;65407;387
260;31864;448;65407;387
261;31791;448;65407;387
261;31791;375;65407;387
262;31791;375;65332;387
273;31681;287;65238;272
273;31679;287;65238;272
273;31679;285;65238;272
274;31679;285;65221;272
274;31679;285;65221;265
275;31661;285;65221;265
285;31497;150;65117;167
286;31497;150;65031;167
286;31497;150;65031;151
287;31572;150;65031;151
287;31572;245;65031;151
288;31572;245;65128;151
298;31726;425;65293;449
299;31750;425;65293;449
299;31750;446;65293;449
300;31750;446;65271;449
300;31750;446;65271;387
301;31750;446;65271;387
311;31533;291;65068;266
312;31533;291;65073;266
312;31533;291;65073;263
313;31524;291;65073;263
313;31524;280;65073;263
314;31524;280;65073;263
324;31483;231;65012;159
325;31358;231;65012;159
325;31358;145;65012;159
326;31358;145;64924;159
326;31358;145;64924;149
337;31611;274;65050;347
337;31611;417;65050;347
338;31611;417;65209;347
338;31611;417;65209;438
339;31611;417;65209;438
339;31631;417;65209;438
350;31450;278;65061;226
350;31450;278;65061;263
351;31450;278;65061;263
351;31459;278;65061;263
351;31459;282;65061;263
352;31459;282;65080;263
363;31574;368;65183;292
363;31455;234;65183;292
363;31455;234;65183;292
364;31455;234;65036;292
364;31455;234;65036;159
365;31333;234;65036;159
376;31482;278;65137;262
376;31482;278;65155;346
376;31482;278;65155;346
377;31637;278;65155;346
377;31637;419;65155;346
378;31637;419;65323;346
388;31460;238;65151;235
389;31504;238;65151;235
389;31504;271;65151;235
390;31504;271;65197;235
390;31504;271;65197;262
391;31526;271;65197;262
401;31647;368;65386;383
402;31647;368;65319;383
402;31647;368;65319;289
403;31523;368;65319;289
403;31523;231;65319;289
404;31523;231;65179;289
414;31570;282;65278;257
415;31566;282;65278;257
415;31566;277;65278;257
416;31566;277;65298;257
416;31566;277;65298;344
417;31566;277;65298;344
427;31547;238;65175;143
428;31547;238;65284;143
428;31547;238;65284;234
429;31547;238;65284;234
429;31585;268;65284;234
430;31585;268;65284;234
440;31793;439;65512;384
441;31721;439;65512;384
441;31721;366;65512;384
442;31721;366;65447;384
442;31721;366;65447;291
443;31721;366;65447;291
453;31640;284;65389;267
454;31640;284;65385;267
454;31640;284;65385;262
455;31640;284;65385;262
455;31641;284;65385;262
455;31641;283;65385;262
466;31508;141;65256;146
467;31508;141;65256;146
467;31604;141;65256;146
467;31604;238;65256;146
468;31604;238;65346;146
468;31604;238;65346;234
479;31841;438;55;440
480;31841;438;55;440
480;31841;438;38;382
480;31841;438;38;382
481;31767;438;38;382
481;31767;372;38;382
482;31767;372;65499;382
492;31674;285;65437;259
493;31674;285;65437;259
493;31674;281;65437;259
494;31674;281;65438;259
494;31674;281;65438;260
495;31669;281;65438;260
505;31544;144;65383;146
506;31544;144;65312;146
506;31544;144;65312;146
507;31635;144;65312;146
507;31635;244;65312;146
508;31635;244;65424;146
518;31850;420;111;438
519;31877;420;111;438
519;31877;439;111;438
520;31877;439;101;438
520;31877;439;101;386
521;31877;439;101;386
531;31719;278;65493;258
532;31719;278;65504;258
532;31719;278;65504;260
533;31719;278;65504;260
533;31721;273;65504;260
534;31721;273;65504;260
544;31713;228;65461;154
545;31591;228;65461;154
545;31591;139;65461;154
546;31591;139;65461;154
546;31591;139;65383;146
546;31591;139;65383;146
557;31894;421;28;346
558;31894;421;195;346
558;31894;421;195;438
559;31894;421;195;438
559;31932;421;195;438
559;31932;435;195;438
560;31932;435;173;438
571;31750;275;35;257
571;31769;277;35;257
571;31769;277;35;257
572;31769;277;47;257
572;31769;277;47;262
573;31769;277;47;262
573;31769;277;47;262
584;31752;231;65527;149
584;31752;231;65527;149
585;31633;231;65527;149
585;31633;143;65527;149
586;31633;143;65465;149
586;31633;143;65465;152
597;31929;277;95;357
597;31929;422;95;357
598;31929;422;256;357
598;31929;422;256;444
599;31961;422;256;444
599;31961;438;256;444
600;31961;438;233;444
610;31777;269;97;258
611;31792;269;97;258
611;31792;276;97;258
612;31792;276;99;258
612;31792;276;99;261
613;31792;276;99;261
613;31789;276;99;261
624;31773;232;56;287
624;31773;232;56;148
625;31773;232;56;148
625;31670;232;56;148
625;31670;137;56;148
626;31670;137;65529;148
637;31804;272;169;357
637;31956;272;169;357
637;31956;423;169;357
638;31956;423;340;357
638;31956;423;340;439
639;31989;423;340;439
639;31989;440;340;439
650;31810;275;166;234
650;31810;275;166;258
651;31829;275;166;258
651;31829;285;166;258
652;31829;285;189;258
652;31829;285;189;258
653;31829;285;189;258
663;31814;227;281;282
1698;32727;437;1589;441
1698;32727;437;1589;441
1699;32737;437;1589;441
1710;32532;279;1352;251
1710;32532;279;1352;267
1710;32532;279;1352;267
1711;32540;279;1352;267
1711;32540;284;1352;267
1712;32540;284;1336;267
1722;32573;366;1336;268
1723;32420;366;1336;268
1723;32420;224;1336;268
1724;32420;224;1169;268
1724;32420;224;1169;132
1725;32311;224;1169;132
1735;32397;277;1210;257
1736;32397;277;1264;257
1736;32397;277;1264;390
1737;32544;277;1264;390
1737;32544;437;1264;390
1738;32544;437;1387;390
1748;32306;242;1128;244
1749;32339;242;1128;244
1749;32339;282;1128;244
1750;32339;282;1144;244
1750;32339;282;1144;267
1751;32339;282;1144;267
1761;32390;358;1245;371
1762;32390;358;1134;371
1762;32390;358;1134;258
1763;32245;358;1134;258
1763;32245;224;1134;258
1764;32245;224;997;258
1774;32265;284;1076;258
1775;32256;284;1076;258
1775;32256;278;1076;258
1776;32256;278;1134;258
1776;32256;278;1134;396
1777;32256;278;1134;396
1787;32206;246;940;190
1788;32206;246;1038;190
1788;32206;246;1038;245
1789;32206;246;1038;245
1789;32245;279;1038;245
1789;32245;279;1038;245
1800;32422;440;1202;369
1801;32422;440;1202;369
1801;32343;359;1202;369
1801;32343;359;1202;369
1802;32343;359;1130;260
1802;32343;359;1130;260
1813;32261;283;1086;266
1814;32261;283;1086;266
1814;32261;283;1076;262
1814;32261;283;1076;262
1815;32264;283;1076;262
1815;32264;280;1076;262
1826;32133;136;972;195
1826;32133;136;972;195
1827;32234;136;972;195
1827;32234;243;972;195
1828;32234;243;1073;195
1828;32234;243;1073;246
1839;32468;434;1303;440
1839;32468;439;1303;440
1840;32468;439;1256;440
1840;32468;439;1256;368
1841;32393;439;1256;368
1841;32393;363;1256;368
1852;32315;285;1147;267
1852;32315;285;1147;264
1853;32316;285;1147;264
1853;32316;282;1147;264
1854;32316;282;1139;264
1854;32316;282;1139;260
1865;32183;223;1063;124
1865;32183;134;1063;124
1866;32183;134;1038;124
1866;32183;134;1038;194
1867;32289;134;1038;194
1867;32289;244;1038;194
1878;32493;438;1373;399
1878;32493;438;1373;442
1879;32518;438;1373;442
1879;32518;427;1373;442
1880;32518;427;1314;442
1880;32518;427;1314;363
1891;32363;274;1183;259
1891;32363;281;1183;259
1892;32363;281;1199;259
1892;32363;281;1199;260
1893;32363;281;1199;260
1893;32360;282;1199;260
1904;32319;222;1105;257
1904;32319;222;1105;125
1905;32319;222;1105;125
1905;32225;135;1105;125
1905;32225;135;1105;125
1906;32225;135;1071;200
1917;32378;276;1281;398
1917;32528;437;1281;398
1917;32528;437;1281;398
1918;32528;437;1404;440
1918;32528;437;1404;440
1919;32552;437;1404;440
1930;32385;278;1197;248
1930;32385;278;1225;266
1930;32385;278;1225;266
1931;32396;278;1225;266
1931;32396;287;1225;266
1932;32396;287;1229;266
1942;32495;364;1290;257
1943;32357;364;1290;257
1943;32357;226;1290;257
1944;32357;226;1140;257
1944;32357;226;1140;128
1945;32262;226;1140;128
1955;32410;277;1248;257
1956;32410;277;1319;257
1956;32410;277;1319;401
1957;32562;277;1319;401
1957;32562;439;1319;401
1958;32562;439;1432;401
1968;32380;241;1229;249
1969;32415;241;1229;249
1969;32415;280;1229;249
1970;32415;280;1276;249
1970;32415;280;1276;265
1971;32427;280;1276;265
1981;32520;359;1401;364
1982;32520;359;1318;364
1982;32520;359;1318;254
1983;32382;359;1318;254
1983;32382;217;1318;254
1984;32382;217;1168;254
1994;32434;281;1259;254
1995;32424;281;1259;254
1995;32424;280;1259;254
1996;32424;280;1337;254
1996;32424;280;1337;402
1996;32424;280;1337;402
2007;32382;245;1146;197
2007;32382;245;1240;197
2008;32382;245;1240;249
2009;32382;245;1240;249
2009;32429;278;1240;249
2009;32429;278;1240;249
2020;32594;434;1399;366
2021;32594;434;1399;366
2021;32526;359;1399;366
2021;32526;359;1399;366
2022;32526;359;1311;253
2033;32430;288;1268;266
2033;32430;283;1268;266
2034;32430;283;1263;266
2034;32430;283;1263;258
2034;32430;283;1263;258
2035;32431;283;1263;258
2046;32284;130;1136;123
2046;32284;130;1136;202
2046;32284;130;1136;202
2047;32385;130;1136;202
2047;32385;244;1136;202
2048;32385;244;1254;202
2058;32573;435;1437;434
2059;32595;435;1437;434
2059;32595;431;1437;434
2060;32595;431;1402;434
2060;32595;431;1402;363
2061;32518;431;1402;363
2071;32437;289;1278;262
2072;32437;289;1283;271
2072;32437;289;1283;271
2073;32440;289;1283;271
2073;32440;284;1283;271
2074;32440;284;1278;271
2084;32393;223;1181;121
2085;32297;223;1181;121
2085;32297;133;1181;121
2086;32297;133;1171;121
2086;32297;133;1171;202
2087;32407;133;1171;202
2097;32603;440;1383;403
2098;32603;440;1509;403
2098;32603;440;1509;437
2099;32622;440;1509;437
2099;32622;439;1509;437
2100;32622;439;1453;437
2110;32459;279;1326;264
2111;32476;279;1326;264
2111;32476;290;1326;264
2112;32476;290;1333;264
2112;32476;290;1333;265
2113;32476;290;1333;265
2123;32427;220;1392;251
2124;32427;220;1236;251
2124;32427;220;1236;116
2125;32427;220;1236;116
2125;32336;128;1236;116
2125;32336;128;1236;116
2136;32491;278;1438;400
2137;32644;278;1438;400
2137;32644;435;1438;400
2137;32644;435;1438;400
2138;32644;435;1563;439
2138;32644;435;1563;439
2149;32507;280;1350;247
2150;32507;280;1368;247
2150;32507;280;1368;262
2151;32521;280;1368;262
2151;32521;286;1368;262
2152;32521;286;1384;262
2162;32620;355;1441;245
2163;32477;355;1441;245
2163;32477;222;1441;245
2164;32477;222;1296;245
2164;32477;222;1296;124
2165;32391;222;1296;124
2175;32544;282;1415;254
2176;32544;282;1501;254
2176;32544;282;1501;401
2177;32698;282;1501;401
2177;32698;439;1501;401
2178;32698;439;1607;401
2188;32520;247;1415;252
2189;32556;247;1415;252
2189;32556;280;1415;252
2190;32556;280;1442;252
2190;32556;280;1442;260
2191;32556;280;1442;260
2201;32660;353;1606;366
2202;32660;353;1504;366
2202;32660;353;1504;244
2203;32660;353;1504;244
2203;32533;221;1504;244
2203;32533;221;1504;244
2214;32602;281;1481;262
2215;32602;281;1481;262
2215;32597;280;1481;262
2215;32597;280;1481;262
2216;32597;280;1560;405
2216;32597;280;1560;405
2227;32570;245;1370;205
2228;32570;245;1474;205
2228;32570;245;1474;250
2228;32570;245;1474;250
2229;32611;245;1474;250
2229;32611;277;1474;250
2240;32793;430;1650;358
2240;32793;430;1650;358
2241;32719;430;1650;358
2241;32719;355;1650;358
2242;32719;355;1561;358
2242;32719;355;1561;246
2253;32642;284;1551;265
2253;32642;284;1551;265
2254;32642;284;1533;265
2254;32642;284;1533;256
2255;32640;284;1533;256
2255;32640;280;1533;256
2266;32506;133;1420;203
2266;32506;133;1420;203
2267;32607;133;1420;203
2267;32607;241;1420;203
2268;32607;241;1518;203
2268;32607;241;1518;247
2279;32826;442;1747;430
2279;32826;431;1747;430
2280;32826;431;1693;430
2280;32826;431;1693;355
2281;32748;431;1693;355
2281;32748;353;1693;355
2292;32672;289;1572;262
2292;32672;289;1572;261
2293;32667;289;1572;261
2293;32667;279;1572;261
2294;32667;279;1569;261
2294;32667;279;1569;258
2305;32530;217;1473;118
2305;32530;131;1473;118
2306;32530;131;1451;118
2306;32530;131;1451;206
2307;32530;131;1451;206
2307;32636;244;1451;206
2318;32829;446;1787;401
2318;32829;446;1787;434
2319;32829;446;1787;434
2319;32854;434;1787;434
2319;32854;434;1787;434
2320;32854;434;1724;358
2331;32687;276;1602;262
2331;32700;287;1602;262
2331;32700;287;1602;262
2332;32700;287;1610;262
2332;32700;287;1610;262
2333;32696;287;1610;262
2344;32650;216;1499;240
2344;32650;216;1499;117
2344;32650;216;1499;117
2345;32554;216;1499;117
2345;32554;138;1499;117
2346;32554;138;1499;117
2356;32710;284;1705;404
2357;32863;284;1705;404
2357;32863;440;1705;404
2358;32863;440;1813;404
2358;32863;440;1813;430
2369;32716;279;1614;248
2369;32716;279;1614;248
2370;32716;279;1640;264
2370;32716;279;1640;264
2371;32735;279;1640;264
2371;32735;287;1640;264
2382;32819;354;1686;239
2382;32819;354;1686;239
2383;32683;354;1686;239
2383;32683;221;1686;239
2384;32683;221;1545;239
2384;32683;221;1545;125
2395;32747;285;1663;256
2395;32747;285;1663;256
2396;32747;285;1761;256
2396;32747;285;1761;396
2397;32894;285;1761;396
2397;32894;441;1761;396
2410;32743;279;1672;263
2421;32826;429;1793;359
2421;32826;357;1793;359
2422;32826;357;1689;359
2422;32826;357;1689;243
2423;32679;357;1689;243
2423;32679;219;1689;243
2434;32690;278;1585;264
2434;32690;278;1585;256
2435;32670;278;1585;256
2435;32670;284;1585;256
2436;32670;284;1664;256
2436;32670;284;1664;400
2447;32570;137;1394;212
2447;32570;245;1394;212
2448;32570;245;1476;212
2448;32570;245;1476;254
2449;32570;245;1476;254
2449;32600;277;1476;254
2460;32720;427;1559;433
2460;32720;427;1559;363
2461;32634;427;1559;363
2461;32634;358;1559;363
2461;32634;358;1559;363
2462;32634;358;1460;237
2473;32493;290;1390;262
2473;32493;284;1390;262
2474;32493;284;1372;262
2474;32493;284;1372;265
2474;32493;284;1372;265
2475;32481;284;1372;265
2486;32303;137;1205;123
2486;32303;137;1205;210
2486;32303;137;1205;210
2487;32404;137;1205;210
2487;32404;243;1205;210
2488;32404;243;1297;210
2498;32582;444;1497;430
2499;32586;444;1497;430
2499;32586;428;1497;430
2500;32586;428;1431;430
2500;32586;428;1431;357
2501;32507;428;1431;357
2511;32420;289;1302;267
2512;32420;289;1302;265
2512;32420;289;1302;265
2513;32416;289;1302;265
2513;32416;281;1302;265
2514;32416;281;1294;265
2524;32364;212;1198;119
2525;32279;212;1198;119
2525;32279;142;1198;119
2526;32279;142;1194;119
2526;32279;142;1194;211
2527;32383;142;1194;211
2537;32588;452;1426;403
2538;32588;452;1528;403
2538;32588;452;1528;432
2539;32604;452;1528;432
2539;32604;428;1528;432
2540;32604;428;1463;432
2550;32444;275;1353;262
2551;32457;275;1353;262
2551;32457;288;1353;262
2552;32457;288;1359;262
2552;32457;288;1359;262
2553;32457;288;1359;262
2563;32421;211;1404;236
2564;32421;211;1264;236
2564;32421;211;1264;119
2565;32421;211;1264;119
2565;32335;140;1264;119
2565;32335;140;1264;119
2576;32491;300;1503;400
2577;32651;300;1503;400
2577;32651;447;1503;400
2578;32651;447;1607;400
2578;32651;447;1607;431
2578;32651;447;1607;431
2589;32509;275;1406;254
2590;32509;275;1432;254
2590;32509;275;1432;262
2590;32509;275;1432;262
2591;32531;275;1432;262
2591;32531;291;1432;262
2602;32618;355;1472;238
2602;32618;355;1472;238
2603;32480;355;1472;238
2603;32480;210;1472;238
2604;32480;210;1327;238
2604;32480;210;1327;114
2615;32546;296;1463;259
2615;32546;296;1463;259
2616;32546;296;1574;259
2616;32546;296;1574;402
2617;32700;296;1574;402
2617;32700;443;1574;402
2628;32523;247;1460;252
2628;32523;247;1460;252
2629;32556;247;1460;252
2629;32556;275;1460;252
2630;32556;275;1489;252
2630;32556;275;1489;262
2641;32662;420;1626;357
2641;32662;357;1626;357
2642;32662;357;1536;357
2642;32662;357;1536;229
2643;32530;357;1536;229
2643;32530;208;1536;229
2654;32592;283;1524;263
2654;32592;283;1524;256
2655;32590;283;1524;256
2655;32590;297;1524;256
2656;32590;297;1631;256
2666;32458;149;1428;214
2667;32564;149;1428;214
2667;32564;252;1428;214
2668;32564;252;1517;214
2668;32564;252;1517;256
2669;32601;252;1517;256
2679;32782;425;1756;430
2680;32782;425;1684;430
2680;32782;425;1684;353
2681;32707;425;1684;353
2681;32707;357;1684;353
2682;32707;357;1582;353
2692;32632;287;1574;264
2693;32628;287;1574;264
2693;32628;281;1574;264
2694;32628;281;1586;264
2694;32628;281;1586;258
2694;32628;281;1586;258
2705;32487;145;1456;123
2706;32487;145;1462;123
2706;32487;145;1462;215
2706;32487;145;1462;215
2707;32595;251;1462;215
2707;32595;251;1462;215
2718;32788;453;1785;432
2719;32788;453;1785;432
2719;32793;422;1785;432
2719;32793;422;1785;432
2720;32793;422;1703;358
2720;32793;422;1703;358
2731;32636;286;1581;264
2731;32636;286;1581;264
