Tiempo (ms),IR,AMB_IR,RED,AMB_RED
0,0,0,33197,0
0,0,0,33197,1624
1,41519,0,33197,1624
1,41519,1648,33197,1624
2,41519,1648,34498,1624
2,41519,1648,34498,1613
13,41628,1653,35008,1629
13,41628,1653,35008,1629
14,41628,1653,35038,1629
14,41628,1653,35038,1634
15,41628,1653,35038,1634
15,41646,1652,35038,1634
26,41667,1599,35104,1575
26,41667,1599,35104,1575
27,41687,1599,35104,1575
27,41687,1604,35104,1575
28,41687,1604,35104,1575
38,41765,1614,35238,1588
39,41774,1614,35238,1588
39,41774,1604,35238,1588
40,41774,1604,35221,1588
40,41774,1604,35221,1571
41,41774,1604,35221,1571
51,41826,1606,35317,1574
52,41826,1606,35336,1574
52,41826,1606,35336,1581
53,41826,1606,35336,1581
53,41846,1606,35336,1581
53,41846,1612,35336,1581
64,41853,1576,35387,1550
65,41853,1576,35387,1550
65,41859,1576,35387,1550
65,41859,1583,35387,1550
66,41859,1583,35397,1550
77,41947,1629,35497,1606
77,41946,1629,35497,1606
77,41946,1629,35497,1606
78,41946,1629,35498,1606
78,41946,1629,35498,1602
79,41942,1629,35498,1602
90,41940,1641,35439,1599
90,41940,1641,35452,1626
90,41940,1641,35452,1626
91,41959,1641,35452,1626
91,41959,1658,35452,1626
92,41959,1658,35453,1626
102,41957,1667,35388,1639
103,41947,1667,35388,1639
103,41947,1667,35388,1639
104,41947,1667,35374,1639
104,41947,1667,35374,1643
115,41999,1735,35380,1712
115,41999,1740,35380,1712
116,41999,1740,35379,1712
116,41999,1740,35379,1712
117,41994,1740,35379,1712
117,41994,1741,35379,1712
128,41998,1750,35356,1713
128,41998,1750,35356,1728
129,42013,1750,35356,1728
129,42013,1767,35356,1728
130,42013,1767,35372,1728
140,42053,1795,35408,1770
141,42049,1795,35408,1770
141,42049,1789,35408,1770
142,42049,1789,35411,1770
142,42049,1789,35411,1767
153,42136,1842,35493,1820
153,42136,1847,35493,1820
154,42136,1847,35510,1820
154,42136,1847,35510,1831
155,42136,1847,35510,1831
155,42152,1856,35510,1831
166,42148,1838,35525,1812
166,42148,1838,35525,1813
167,42148,1838,35525,1813
167,42161,1845,35525,1813
168,42161,1845,35525,1813
178,42232,1885,35631,1852
179,42226,1885,35631,1852
179,42226,1866,35631,1852
180,42226,1866,35627,1852
180,42226,1866,35627,1840
181,42226,1866,35627,1840
191,42258,1857,35684,1823
192,42258,1857,35710,1823
192,42258,1857,35710,1829
193,42258,1857,35710,1829
193,42263,1857,35710,1829
204,42214,1799,35718,1782
204,42214,1799,35718,1772
205,42214,1799,35718,1772
205,42223,1800,35718,1772
206,42223,1800,35718,1772
216,42286,1843,35864,1820
217,42286,1843,35864,1820
217,42285,1843,35864,1820
218,42285,1843,35864,1820
218,42285,1843,35855,1819
218,42285,1843,35855,1819
229,42244,1842,35815,1806
230,42244,1842,35815,1806
230,42244,1842,35817,1824
230,42244,1842,35817,1824
231,42245,1842,35817,1824
242,42164,1848,35733,1828
242,42164,1848,35698,1823
242,42164,1848,35698,1823
243,42150,1848,35698,1823
243,42150,1846,35698,1823
244,42150,1846,35660,1823
254,42099,1904,35557,1886
255,42089,1904,35557,1886
255,42089,1909,35557,1886
256,42089,1909,35535,1886
256,42089,1909,35535,1887
267,41987,1889,35392,1868
267,41987,1896,35392,1868
268,41987,1896,35387,1868
268,41987,1896,35387,1879
269,41987,1896,35387,1879
279,41954,1932,35378,1913
280,41954,1932,35346,1913
280,41954,1932,35346,1900
281,41933,1932,35346,1900
281,41933,1926,35346,1900
282,41933,1926,35326,1900
292,41849,1953,35225,1934
293,41827,1953,35225,1934
293,41827,1961,35225,1934
294,41827,1961,35215,1934
294,41827,1961,35215,1944
305,41559,1938,34929,1914
305,41559,1938,34929,1914
306,41559,1938,34873,1914
306,41559,1938,34873,1912
307,41559,1938,34873,1912
307,41530,1954,34873,1912
318,41377,1992,34602,1971
318,41377,1992,34602,1970
319,41377,1992,34602,1970
319,41334,1985,34602,1970
320,41334,1985,34602,1970
330,41129,2000,34230,1978
331,41129,2000,34230,1978
331,41115,2008,34230,1978
332,41115,2008,34230,1978
332,41115,2008,34237,1986
343,40963,2000,33964,1975
343,40934,1992,33964,1975
344,40934,1992,33964,1975
344,40934,1992,33904,1968
344,40934,1992,33904,1968
345,40905,1992,33904,1968
356,40858,2041,33791,2018
356,40858,2041,33756,2018
356,40858,2041,33756,2018
357,40842,2041,33756,2018
357,40842,2033,33756,2018
368,40750,2001,33611,1979
368,40750,2001,33611,1979
369,40751,2001,33611,1979
369,40751,2014,33611,1979
370,40751,2014,33609,1979
370,40751,2014,33609,1996
381,40730,2002,33578,1973
381,40730,1990,33578,1973
382,40730,1990,33562,1973
382,40730,1990,33562,1962
383,40719,1990,33562,1962
393,40760,2015,33571,1987
394,40760,2015,33578,1987
394,40760,2015,33578,1992
395,40764,2015,33578,1992
395,40764,2015,33578,1992
406,40756,1990,33592,1958
406,40756,1990,33592,1965
407,40773,1990,33592,1965
407,40773,1994,33592,1965
408,40773,1994,33613,1965
408,40773,1994,33613,1976
419,40860,2037,33727,2016
419,40860,2028,33727,2016
420,40860,2028,33731,2016
420,40860,2028,33731,2002
421,40864,2028,33731,2002
431,40949,2061,33828,2025
432,40949,2061,33860,2025
432,40949,2061,33860,2039
433,40980,2061,33860,2039
433,40980,2075,33860,2039
434,40980,2075,33885,2039
444,41022,2057,33948,2028
445,41031,2057,33948,2028
445,41031,2060,33948,2028
446,41031,2060,33962,2028
446,41031,2060,33962,2038
457,41165,2120,34084,2094
457,41165,2118,34084,2094
458,41165,2118,34094,2094
458,41165,2118,34094,2096
459,41165,2118,34094,2096
469,41223,2116,34143,2082
470,41223,2116,34175,2082
470,41223,2116,34175,2100
471,41223,2116,34175,2100
471,41256,2136,34175,2100
472,41256,2136,34175,2100
482,41310,2127,34243,2104
483,41310,2127,34243,2104
483,41303,2122,34243,2104
484,41303,2122,34243,2104
484,41303,2122,34228,2099
495,41326,2205,34124,2181
495,41328,2207,34124,2181
496,41328,2207,34124,2181
496,41328,2207,34083,2196
496,41328,2207,34083,2196
497,41320,2207,34083,2196
508,41294,2214,33984,2182
508,41294,2214,33991,2198
508,41294,2214,33991,2198
509,41312,2214,33991,2198
509,41312,2235,33991,2198
520,41358,2261,34009,2235
520,41358,2261,34009,2235
521,41352,2261,34009,2235
521,41352,2249,34009,2235
522,41352,2249,34009,2235
533,41405,2267,34120,2245
533,41425,2267,34120,2245
533,41425,2275,34120,2245
534,41425,2275,34149,2245
534,41425,2275,34149,2254
535,41442,2275,34149,2254
545,41446,2213,34250,2186
546,41446,2213,34278,2186
546,41446,2213,34278,2176
547,41462,2213,34278,2176
547,41462,2204,34278,2176
558,41538,2180,34541,2168
558,41538,2180,34541,2149
559,41550,2180,34541,2149
559,41550,2155,34541,2149
560,41550,2155,34570,2149
560,41550,2155,34570,2120
571,41555,2114,34694,2091
571,41555,2117,34694,2091
572,41555,2117,34721,2091
572,41555,2117,34721,2094
573,41566,2117,34721,2094
583,41541,2048,34791,2030
584,41541,2048,34800,2030
584,41541,2048,34800,2014
585,41542,2048,34800,2014
