Tiempo (ms),IR,AMB_IR,RED,AMB_RED
0,0,2893,55539,0
0,0,2893,55539,268
1,20226,2893,55539,268
1,20226,285,55539,268
2,20226,285,56227,268
2,20226,285,56227,274
13,20237,290,56450,283
13,20237,290,56450,283
14,20237,290,56459,283
14,20237,290,56459,288
15,20237,290,56459,288
15,20236,290,56459,288
26,20210,290,56398,279
26,20210,290,56398,276
27,20210,290,56398,276
27,20205,290,56398,276
27,20205,289,56398,276
28,20205,289,56389,276
39,20150,294,56278,284
39,20130,291,56278,284
40,20130,291,56278,284
40,20130,291,56250,277
40,20130,291,56250,277
41,20109,291,56250,277
41,20109,285,56250,277
52,20017,290,56052,282
52,20017,290,56052,282
53,19994,290,56052,282
53,19994,293,56052,282
54,19994,293,56019,282
54,19994,293,56019,286
65,19855,284,55822,277
65,19855,287,55822,277
66,19855,287,55790,277
66,19855,287,55790,283
67,19836,287,55790,283
67,19836,288,55790,283
78,19733,292,55565,285
78,19733,292,55565,283
79,19706,292,55565,283
79,19706,293,55565,283
80,19706,293,55525,283
80,19706,293,55525,277
81,19706,293,55525,277
91,19582,290,55347,280
92,19582,290,55314,280
92,19582,290,55314,279
93,19582,290,55314,279
93,19567,286,55314,279
94,19567,286,55314,279
104,19475,279,55141,276
105,19464,279,55141,276
105,19464,285,55141,276
106,19464,285,55115,276
106,19464,285,55115,276
107,19464,285,55115,276
117,19399,288,55020,283
118,19399,288,55012,283
118,19399,288,55012,282
119,19399,288,55012,282
119,19377,288,55012,282
119,19377,288,55012,282
130,19340,289,54915,282
131,19340,289,54915,282
131,19335,283,54915,282
131,19335,283,54915,282
132,19335,283,54901,283
132,19335,283,54901,283
143,19291,281,54862,272
144,19291,281,54862,272
144,19291,281,54854,273
144,19291,281,54854,273
145,19287,281,54854,273
145,19287,288,54854,273
156,19276,292,54829,287
156,19276,292,54829,287
157,19274,292,54829,287
157,19274,294,54829,287
158,19274,294,54818,287
158,19274,294,54818,282
169,19257,288,54796,277
169,19257,291,54796,277
170,19257,291,54802,277
170,19257,291,54802,283
171,19255,291,54802,283
171,19255,289,54802,283
182,19236,286,54771,281
182,19236,286,54771,274
183,19230,286,54771,274
183,19230,284,54771,274
184,19230,284,54770,274
184,19230,284,54770,277
195,19240,294,54780,282
195,19240,295,54780,282
196,19240,295,54778,282
196,19240,295,54778,288
197,19240,295,54778,288
207,19241,288,54785,277
208,19241,288,54795,277
208,19241,288,54795,281
209,19241,288,54795,281
209,19241,286,54795,281
210,19241,286,54795,281
220,19253,298,54832,285
221,19250,298,54832,285
221,19250,289,54832,285
222,19250,289,54832,285
222,19250,289,54828,280
222,19250,289,54828,280
233,19272,293,54866,281
234,19272,293,54880,281
234,19272,293,54880,288
235,19272,293,54880,288
235,19279,293,54880,288
235,19279,295,54880,288
246,19295,286,54939,281
247,19295,286,54939,281
247,19300,286,54939,281
247,19300,291,54939,281
248,19300,291,54945,281
248,19300,291,54945,286
259,19339,295,55016,283
259,19339,295,55016,283
260,19339,295,55016,282
260,19339,295,55016,282
261,19340,295,55016,282
261,19340,292,55016,282
272,19367,293,55096,283
272,19367,293,55096,283
273,19374,293,55096,283
273,19374,295,55096,283
274,19374,295,55110,283
274,19374,295,55110,284
285,19405,286,55159,277
285,19405,294,55159,277
286,19405,294,55173,277
286,19405,294,55173,283
287,19412,294,55173,283
287,19412,288,55173,283
298,19445,297,55253,286
298,19445,297,55253,288
299,19447,297,55253,288
299,19447,294,55253,288
300,19447,294,55262,288
300,19447,294,55262,283
311,19464,297,55304,284
311,19464,298,55304,284
312,19464,298,55310,284
312,19464,298,55310,288
313,19464,298,55310,288
313,19470,292,55310,288
324,19474,289,55348,279
324,19474,289,55348,283
325,19474,289,55348,283
325,19482,296,55348,283
326,19482,296,55348,283
326,19482,296,55359,283
337,19501,300,55387,297
337,19501,300,55387,297
338,19501,300,55381,297
338,19501,300,55381,292
338,19501,300,55381,292
339,19499,300,55381,292
350,19505,297,55406,284
350,19505,297,55406,284
351,19505,297,55406,284
351,19501,297,55406,284
351,19501,291,55406,284
352,19501,291,55406,284
363,19508,294,55423,281
363,19502,290,55423,281
363,19502,290,55423,281
364,19502,290,55425,282
364,19502,290,55425,282
365,19508,290,55425,282
376,19525,302,55459,298
376,19525,302,55475,293
376,19525,302,55475,293
377,19528,302,55475,293
377,19528,309,55475,293
378,19528,309,55477,293
388,19539,296,55500,286
389,19542,296,55500,286
389,19542,292,55500,286
390,19542,292,55502,286
390,19542,292,55502,286
391,19541,292,55502,286
401,19558,293,55535,288
402,19558,293,55537,288
402,19558,293,55537,286
403,19554,293,55537,286
403,19554,293,55537,286
404,19554,293,55542,286
414,19576,299,55584,290
415,19584,299,55584,290
415,19584,300,55584,290
416,19584,300,55594,290
416,19584,300,55594,296
417,19584,300,55594,296
427,19602,300,55627,290
428,19602,300,55635,290
428,19602,300,55635,285
429,19608,300,55635,285
429,19608,304,55635,285
430,19608,304,55635,285
440,19623,300,55669,285
441,19620,300,55669,285
441,19620,290,55669,285
442,19620,290,55681,285
442,19620,290,55681,283
442,19620,290,55681,283
453,19644,298,55700,292
454,19644,298,55703,292
454,19644,298,55703,299
