Tiempo (ms);IR;AMB_IR;RED;AMB_RED
0;0;0;37240;0
0;0;0;37240;1294
1;51831;0;37240;1294
1;51831;1340;37240;1294
2;51831;1340;38563;1294
2;51831;1340;38563;1306
13;51737;1346;38953;1307
13;51737;1338;38953;1307
14;51737;1338;38950;1307
14;51737;1338;38950;1307
15;51737;1338;38950;1307
15;51721;1338;38950;1307
26;51727;1353;38947;1318
26;51727;1353;38947;1317
27;51730;1353;38947;1317
27;51730;1356;38947;1317
28;51730;1356;38951;1317
38;51705;1341;38928;1313
39;51709;1341;38928;1313
39;51709;1342;38928;1313
40;51709;1342;38940;1313
40;51709;1342;38940;1309
40;51709;1342;38940;1309
51;51723;1354;38946;1324
52;51723;1354;38956;1324
52;51723;1354;38956;1315
52;51723;1354;38956;1315
53;51729;1354;38956;1315
53;51729;1349;38956;1315
64;51743;1362;38995;1331
64;51743;1362;38995;1331
65;51753;1362;38995;1331
65;51753;1363;38995;1331
66;51753;1363;38988;1331
76;51759;1352;39017;1321
77;51761;1348;39017;1321
77;51761;1348;39017;1321
78;51761;1348;39029;1321
78;51761;1348;39029;1320
79;51792;1348;39029;1320
89;51800;1364;39074;1331
90;51800;1364;39078;1327
90;51800;1364;39078;1327
91;51798;1364;39078;1327
91;51798;1359;39078;1327
92;51798;1359;39083;1327
102;51818;1363;39123;1332
103;51832;1363;39123;1332
103;51832;1365;39123;1332
104;51832;1365;39127;1332
104;51832;1365;39127;1333
115;51843;1354;39162;1318
115;51843;1354;39162;1318
116;51843;1354;39153;1318
116;51843;1354;39153;1323
117;51845;1354;39153;1323
117;51845;1352;39153;1323
128;51881;1366;39213;1327
128;51881;1366;39213;1332
129;51886;1366;39213;1332
129;51886;1364;39213;1332
130;51886;1364;39213;1332
140;51888;1354;39233;1324
141;51894;1354;39233;1324
141;51894;1361;39233;1324
142;51894;1361;39249;1324
142;51894;1361;39249;1330
153;51915;1361;39272;1324
153;51915;1355;39272;1324
154;51915;1355;39260;1324
154;51915;1355;39260;1322
155;51908;1355;39260;1322
155;51908;1354;39260;1322
166;51937;1374;39318;1337
166;51937;1374;39318;1337
167;51943;1374;39318;1337
167;51943;1370;39318;1337
168;51943;1370;39320;1337
178;51943;1357;39326;1328
179;51943;1357;39326;1328
179;51943;1355;39326;1328
180;51943;1355;39326;1328
180;51943;1355;39326;1328
180;51943;1355;39326;1328
191;51965;1359;39365;1333
192;51965;1359;39358;1333
192;51965;1359;39358;1326
192;51965;1359;39358;1326
193;51967;1359;39358;1326
204;51982;1365;39400;1331
204;51982;1365;39400;1331
205;51982;1365;39400;1331
205;51994;1367;39400;1331
205;51994;1367;39400;1331
216;51987;1353;39415;1321
217;51987;1353;39415;1321
217;51987;1357;39415;1321
217;51987;1357;39415;1321
218;51987;1357;39419;1327
218;51987;1357;39419;1327
229;52014;1363;39444;1334
229;52014;1363;39444;1334
230;52014;1363;39449;1338
230;52014;1363;39449;1338
231;52017;1363;39449;1338
241;52014;1361;39455;1325
242;52014;1361;39464;1331
242;52014;1361;39464;1331
243;52027;1361;39464;1331
243;52027;1365;39464;1331
244;52027;1365;39478;1331
254;52033;1360;39481;1322
255;52030;1360;39481;1322
255;52030;1357;39481;1322
256;52030;1357;39482;1322
256;52030;1357;39482;1322
267;52057;1372;39520;1336
267;52057;1372;39520;1336
