Tiempo (ms);IR;AMB_IR;RED;AMB_RED
0;0;0;65521;0
0;0;0;65521;11018
1;17750;0;65521;11018
1;17750;11081;65521;11018
2;17750;11081;65521;11018
2;17750;11081;65521;11027
13;17464;11092;65521;11031
13;17464;11064;65521;11031
14;17464;11064;65521;11031
14;17464;11064;65521;11011
15;17464;11064;65521;11011
25;17377;10965;65521;10920
26;17377;10965;65521;10920
26;17377;10965;65521;10922
27;17377;10965;65521;10922
27;17367;10962;65521;10922
38;17308;10886;65521;10846
38;17308;10886;65521;10825
39;17308;10886;65521;10825
39;17279;10858;65521;10825
39;17279;10858;65521;10825
50;17232;10810;65521;10772
51;17232;10810;65521;10772
51;17237;10814;65521;10772
51;17237;10814;65521;10772
52;17237;10814;65521;10759
63;17111;10710;65521;10654
63;17111;10699;65521;10654
64;17111;10699;65521;10654
64;17111;10699;65521;10657
64;17111;10699;65521;10657
65;17115;10699;65521;10657
76;17098;10696;65521;10661
76;17098;10696;65521;10647
76;17098;10696;65521;10647
77;17088;10696;65521;10647
77;17088;10677;65521;10647
88;17069;10674;65521;10640
88;17069;10674;65521;10640
89;17079;10689;65521;10640
89;17079;10689;65521;10640
90;17079;10689;65521;10640
101;17050;10661;65521;10608
101;17037;10662;65521;10608
101;17037;10662;65521;10608
102;17037;10662;65521;10620
102;17037;10662;65521;10620
113;17104;10730;65521;10681
113;17104;10730;65521;10681
114;17104;10730;65521;10684
114;17104;10730;65521;10684
115;17097;10730;65521;10684
126;17118;10742;65521;10681
126;17118;10742;65521;10700
126;17118;10742;65521;10700
127;17139;10742;65521;10700
127;17139;10752;65521;10700
138;17170;10765;65521;10720
138;17170;10765;65521;10720
139;17155;10758;65521;10720
139;17155;10758;65521;10720
140;17155;10758;65521;10720
151;17223;10801;65521;10760
151;17249;10813;65521;10760
151;17249;10813;65521;10760
152;17249;10813;65521;10755
152;17249;10813;65521;10755
163;17193;10754;65521;10707
164;17193;10754;65521;10707
164;17193;10754;65521;10712
164;17193;10754;65521;10712
165;17207;10754;65521;10712
176;17233;10751;65521;10716
176;17233;10751;65521;10690
176;17233;10751;65521;10690
177;17216;10751;65521;10690
177;17216;10732;65521;10690
188;17214;10703;65521;10652
189;17214;10703;65521;10652
189;17215;10703;65521;10652
189;17215;10703;65521;10652
190;17215;10703;65521;10662
201;17171;10642;65521;10582
201;17154;10622;65521;10582
201;17154;10622;65521;10582
202;17154;10622;65521;10579
202;17154;10622;65521;10579
213;17178;10633;65521;10591
214;17178;10633;65521;10591
214;17178;10633;65521;10577
214;17178;10633;65521;10577
215;17186;10633;65521;10577
226;17124;10577;65521;10523
226;17124;10577;65521;10535
226;17124;10577;65521;10535
227;17131;10577;65521;10535
238;17127;10567;65521;10527
238;17127;10567;65521;10518
239;17127;10567;65521;10518
239;17126;10552;65521;10518
239;17126;10552;65521;10518
250;17151;10580;65521;10544
251;17151;10580;65521;10544
251;17168;10590;65521;10544
251;17168;10590;65521;10544
252;17168;10590;65521;10551
263;17122;10550;65521;10500
263;17122;10553;65521;10500
264;17122;10553;65521;10500
264;17122;10553;65521;10508
264;17122;10553;65521;10508
275;17134;10585;65521;10546
276;17134;10585;65521;10546
276;17134;10585;65521;10530
276;17134;10585;65521;10530
277;17108;10585;65521;10530
288;17081;10577;65521;10526
288;17081;10577;65521;10530
289;17081;10577;65521;10530
289;17084;10581;65521;10530
289;17084;10581;65521;10530
300;17028;10561;65521;10499
301;17028;10561;65521;10499
301;17010;10546;65521;10499
301;17010;10546;65521;10499
302;17010;10546;65521;10503
313;17022;10595;65521;10549
313;17022;10589;65521;10549
314;17022;10589;65521;10549
314;17022;10589;65521;10550
314;17022;10589;65521;10550
325;16967;10572;65521;10511
326;16967;10572;65521;10511
326;16967;10572;65521;10532
326;16967;10572;65521;10532
327;16962;10572;65521;10532
338;16952;10594;65521;10557
338;16952;10594;65521;10541
338;16952;10594;65521;10541
339;16943;10594;65521;10541
339;16943;10591;65521;10541
350;16944;10634;65521;10601
351;16944;10634;65521;10601
351;16966;10651;65521;10601
351;16966;10651;65521;10601
352;16966;10651;65521;10605
363;16906;10617;65521;10574
363;16909;10624;65521;10574
363;16909;10624;65521;10574
364;16909;10624;65521;10583
364;16909;10624;65521;10583
375;16941;10677;65521;10645
376;16941;10677;65521;10645
376;16941;10677;65521;10628
376;16941;10677;65521;10628
377;16917;10677;65521;10628
388;16915;10710;65521;10651
388;16915;10710;65521;10670
388;16915;10710;65521;10670
389;16927;10710;65521;10670
389;16927;10732;65521;10670
400;16901;10733;65521;10691
401;16901;10733;65521;10691
401;16885;10732;65521;10691
401;16885;10732;65521;10691
402;16885;10732;65521;10690
413;16957;10835;65521;10794
413;16957;10839;65521;10794
414;16957;10839;65521;10794
414;16957;10839;65521;10796
414;16957;10839;65521;10796
425;16969;10862;65521;10809
426;16969;10862;65521;10809
426;16969;10862;65521;10832
426;16969;10862;65521;10832
427;16995;10862;65521;10832
438;17060;10920;65521;10877
438;17060;10920;65521;10875
438;17060;10920;65521;10875
439;17063;10914;65521;10875
439;17063;10914;65521;10875
450;17124;10968;65521;10933
451;17124;10968;65521;10933
451;17164;10986;65521;10933
451;17164;10986;65521;10933
452;17164;10986;65521;10944
463;17128;10952;65521;10905
463;17128;10956;65521;10905
464;17128;10956;65521;10905
464;17128;10956;65521;10911
464;17128;10956;65521;10911
475;17174;11001;65521;10971
476;17174;11001;65521;10971
476;17174;11001;65521;10955
476;17174;11001;65521;10955
477;17161;10994;65521;10955
488;17156;11000;65521;10948
488;17156;11000;65521;10963
489;17156;11000;65521;10963
489;17170;11013;65521;10963
489;17170;11013;65521;10963
500;17158;10987;65521;10935
501;17146;10987;65521;10935
501;17146;10972;65521;10935
501;17146;10972;65521;10935
502;17146;10972;65521;10925
513;17209;11014;65521;10970
513;17209;11004;65521;10970
514;17209;11004;65521;10970
514;17209;11004;65521;10953
514;17209;11004;65521;10953
525;17176;10947;65521;10894
526;17176;10947;65521;10894
526;17176;10947;65521;10905
527;17176;10947;65521;10905
537;17179;10922;65521;10883
538;17179;10922;65521;10883
538;17179;10922;65521;10868
539;17179;10922;65521;10868
539;17181;10905;65521;10868
550;17176;10896;65521;10848
550;17176;10896;65521;10859
551;17176;10896;65521;10859
551;17191;10913;65521;10859
551;17191;10913;65521;10859
562;17123;10833;65521;10780
563;17129;10833;65521;10780
563;17129;10832;65521;10780
564;17129;10832;65521;10780
564;17129;10832;65521;10788
575;17160;10854;65521;10806
575;17160;10837;65521;10806
576;17160;10837;65521;10806
576;17160;10837;65521;10784
576;17160;10837;65521;10784
587;17129;10815;65521;10761
588;17129;10815;65521;10761
588;17129;10815;65521;10775
589;17129;10815;65521;10775
589;17136;10820;65521;10775
600;17104;10787;65521;10752
600;17104;10787;65521;10736
601;17089;10787;65521;10736
601;17089;10773;65521;10736
601;17089;10773;65521;10736
612;17135;10827;65521;10782
613;17131;10827;65521;10782
613;17131;10819;65521;10782
614;17131;10819;65521;10782
614;17131;10819;65521;10767
625;17085;10785;65521;10739
625;17085;10793;65521;10739
626;17085;10793;65521;10739
626;17085;10793;65521;10759
626;17085;10793;65521;10759
637;17108;10825;65521;10784
638;17108;10825;65521;10784
638;17108;10825;65521;10781
638;17108;10825;65521;10781
639;17106;10818;65521;10781
650;17115;10867;65521;10815
650;17115;10867;65521;10836
651;17115;10867;65521;10836
651;17137;10890;65521;10836
651;17137;10890;65521;10836
662;17098;10872;65521;10829
663;17107;10872;65521;10829
663;17107;10890;65521;10829
663;17107;10890;65521;10829
664;17107;10890;65521;10850
675;17187;10978;65521;10934
675;17187;10976;65521;10934
676;17187;10976;65521;10934
1714;15632;8002;65521;7960
1715;15630;8002;65521;7960
1715;15630;8006;65521;7960
1715;15630;8006;65521;7960
1726;15620;8005;65521;7965
1727;15642;8005;65521;7965
1727;15642;8022;65521;7965
1728;15642;8022;65521;7965
1728;15642;8022;65521;7975
1739;15673;8053;65521;8002
1739;15673;8056;65521;8002
1740;15673;8056;65521;8002
1740;15673;8056;65521;8000
1740;15673;8056;65521;8000
1751;15697;8088;65521;8035
1752;15697;8088;65521;8035
1752;15697;8088;65521;8047
1752;15697;8088;65521;8047
1753;15718;8103;65521;8047
1764;15687;8074;65521;8027
1764;15687;8074;65521;8027
1764;15687;8074;65521;8027
1765;15688;8077;65521;8027
1765;15688;8077;65521;8027
1776;15739;8126;65521;8067
1777;15739;8126;65521;8067
1777;15740;8120;65521;8067
1777;15740;8120;65521;8067
1778;15740;8120;65521;8065
1789;15734;8116;65521;8068
1789;15734;8131;65521;8068
1789;15734;8131;65521;8068
1790;15734;8131;65521;8087
1790;15734;8131;65521;8087
1791;15752;8131;65521;8087
1802;15736;8117;65521;8075
1802;15736;8117;65521;8062
1802;15736;8117;65521;8062
1803;15715;8117;65521;8062
1803;15715;8111;65521;8062
1814;15772;8173;65521;8121
1814;15772;8173;65521;8121
1815;15786;8173;65521;8121
1815;15786;8166;65521;8121
1816;15786;8166;65521;8121
1826;15741;8135;65521;8092
