Tiempo (ms),IR,AMB_IR,RED,AMB_RED
0,0,0,65521,0
0,0,0,65521,31246
1,34976,0,65521,31246
1,34976,31406,65521,31246
2,34976,31406,65521,31246
2,34976,31406,65521,31286
13,35128,31435,65521,31422
13,35128,31457,65521,31422
14,35128,31457,65521,31422
14,35128,31457,65521,31453
15,35128,31457,65521,31453
25,35296,31621,65521,31584
26,35296,31621,65521,31584
26,35296,31621,65521,31607
27,35296,31621,65521,31607
27,35312,31642,65521,31607
38,35431,31755,65521,31725
38,35431,31755,65521,31744
39,35431,31755,65521,31744
39,35459,31780,65521,31744
40,35459,31780,65521,31744
50,35579,31896,65521,31882
51,35579,31896,65521,31882
51,35585,31912,65521,31882
52,35585,31912,65521,31882
52,35585,31912,65521,31905
63,35755,32037,65521,32032
63,35755,32062,65521,32032
64,35755,32062,65521,32032
64,35755,32062,65521,32059
64,35755,32062,65521,32059
65,35768,32062,65521,32059
76,35899,32210,65521,32169
76,35899,32210,65521,32199
77,35899,32210,65521,32199
77,35925,32210,65521,32199
77,35925,32233,65521,32199
88,36069,32378,65521,32368
89,36069,32378,65521,32368
89,36100,32405,65521,32368
89,36100,32405,65521,32368
90,36100,32405,65521,32368
101,36257,32551,65521,32542
101,36283,32580,65521,32542
101,36283,32580,65521,32542
102,36283,32580,65521,32571
102,36283,32580,65521,32571
113,36428,32730,65521,32698
114,36428,32730,65521,32698
114,36428,32730,65521,32713
114,36428,32730,65521,32713
115,36444,32730,65521,32713
126,36559,32858,65521,32827
126,36559,32858,65521,32842
126,36559,32858,65521,32842
127,36582,32858,65521,32842
127,36582,32873,65521,32842
138,36630,32930,65521,32916
139,36630,32930,65521,32916
139,36638,32930,65521,32916
139,36638,32956,65521,32916
140,36638,32956,65521,32916
151,36717,33020,65521,33004
151,36725,33030,65521,33004
151,36725,33030,65521,33004
152,36725,33030,65521,33018
152,36725,33030,65521,33018
163,36813,33122,65521,33087
164,36813,33122,65521,33087
164,36813,33122,65521,33098
164,36813,33122,65521,33098
165,36814,33122,65521,33098
176,36867,33178,65521,33149
176,36867,33178,65521,33158
177,36867,33178,65521,33158
177,36888,33178,65521,33158
177,36888,33186,65521,33158
188,37014,33299,65521,33281
189,37014,33299,65521,33281
189,37041,33319,65521,33281
189,37041,33319,65521,33281
190,37041,33319,65521,33297
201,37087,33357,65521,33341
201,37092,33372,65521,33341
202,37092,33372,65521,33341
202,37092,33372,65521,33354
202,37092,33372,65521,33354
213,37171,33446,65521,33422
214,37171,33446,65521,33422
214,37171,33446,65521,33438
214,37171,33446,65521,33438
215,37192,33446,65521,33438
226,37266,33547,65521,33519
226,37266,33547,65521,33532
227,37266,33547,65521,33532
227,37277,33547,65521,33532
238,37360,33626,65521,33602
238,37360,33626,65521,33615
239,37360,33626,65521,33615
239,37367,33630,65521,33615
239,37367,33630,65521,33615
250,37412,33663,65521,33644
251,37412,33663,65521,33644
251,37420,33676,65521,33644
251,37420,33676,65521,33644
252,37420,33676,65521,33656
263,37418,33674,65521,33660
263,37418,33677,65521,33660
264,37418,33677,65521,33660
264,37418,33677,65521,33662
264,37418,33677,65521,33662
275,37430,33671,65521,33650
276,37430,33671,65521,33650
276,37430,33671,65521,33640
277,37430,33671,65521,33640
277,37424,33671,65521,33640
288,37388,33627,65521,33612
288,37388,33627,65521,33601
289,37388,33627,65521,33601
289,37380,33619,65521,33601
289,37380,33619,65521,33601
300,37354,33572,65521,33555
301,37354,33572,65521,33555
301,37358,33579,65521,33555
302,37358,33579,65521,33555
302,37358,33579,65521,33550
313,37328,33549,65521,33521
313,37328,33542,65521,33521
314,37328,33542,65521,33521
314,37328,33542,65521,33519
314,37328,33542,65521,33519
325,37313,33531,65521,33518
326,37313,33531,65521,33518
326,37313,33531,65521,33508
326,37313,33531,65521,33508
327,37323,33531,65521,33508
338,37269,33495,65521,33473
338,37269,33495,65521,33466
338,37269,33495,65521,33466
339,37265,33495,65521,33466
339,37265,33488,65521,33466
350,37211,33457,65521,33435
351,37211,33457,65521,33435
351,37187,33449,65521,33435
351,37187,33449,65521,33435
352,37187,33449,65521,33428
363,37171,33429,65521,33406
363,37163,33424,65521,33406
364,37163,33424,65521,33406
364,37163,33424,65521,33397
364,37163,33424,65521,33397
375,37091,33379,65521,33362
376,37091,33379,65521,33362
376,37091,33379,65521,33361
376,37091,33379,65521,33361
377,37080,33379,65521,33361
388,37023,33337,65521,33319
388,37023,33337,65521,33308
389,37023,33337,65521,33308
389,37014,33322,65521,33308
389,37014,33322,65521,33308
400,36949,33279,65521,33251
401,36949,33279,65521,33251
401,36935,33273,65521,33251
401,36935,33273,65521,33251
402,36935,33273,65521,33241
413,36860,33220,65521,33193
413,36860,33207,65521,33193
414,36860,33207,65521,33193
414,36860,33207,65521,33173
414,36860,33207,65521,33173
425,36798,33142,65521,33127
426,36798,33142,65521,33127
426,36798,33142,65521,33111
426,36798,33142,65521,33111
427,36790,33142,65521,33111
438,36717,33060,65521,33044
438,36717,33060,65521,33036
439,36717,33060,65521,33036
439,36714,33048,65521,33036
439,36714,33048,65521,33036
450,36678,33002,65521,32981
451,36678,33002,65521,32981
451,36670,32991,65521,32981
451,36670,32991,65521,32981
452,36670,32991,65521,32966
463,36653,32974,65521,32952
463,36651,32973,65521,32952
463,36651,32973,65521,32952
464,36651,32973,65521,32950
464,36651,32973,65521,32950
475,36672,32968,65521,32939
476,36672,32968,65521,32939
476,36672,32968,65521,32953
476,36672,32968,65521,32953
477,36694,32968,65521,32953
488,36734,33007,65521,32979
488,36734,33007,65521,32982
488,36734,33007,65521,32982
489,36730,33007,65521,32982
489,36730,33002,65521,32982
500,36809,33059,65521,33045
501,36809,33059,65521,33045
501,36828,33072,65521,33045
501,36828,33072,65521,33045
502,36828,33072,65521,33051
513,36893,33116,65521,33098
513,36904,33122,65521,33098
513,36904,33122,65521,33098
514,36904,33122,65521,33104
525,36979,33172,65521,33148
525,36979,33175,65521,33148
526,36979,33175,65521,33148
526,36979,33175,65521,33157
526,36979,33175,65521,33157
537,37002,33167,65521,33146
538,37002,33167,65521,33146
538,37002,33167,65521,33146
538,37002,33167,65521,33146
539,36999,33167,65521,33146
550,36984,33139,65521,33117
550,36984,33139,65521,33111
551,36984,33139,65521,33111
551,36975,33128,65521,33111
551,36975,33128,65521,33111
562,36938,33075,65521,33048
563,36938,33075,65521,33048
563,36927,33065,65521,33048
563,36927,33065,65521,33048
564,36927,33065,65521,33029
575,36852,32978,65521,32946
575,36852,32965,65521,32946
576,36852,32965,65521,32946
576,36852,32965,65521,32936
576,36852,32965,65521,32936
587,36757,32865,65521,32851
588,36757,32865,65521,32851
588,36757,32865,65521,32831
588,36757,32865,65521,32831
589,36738,32865,65521,32831
600,36630,32732,65521,32726
600,36630,32732,65521,32708
601,36630,32732,65521,32708
601,36611,32704,65521,32708
601,36611,32704,65521,32708
612,36477,32561,65521,32527
613,36477,32561,65521,32527
613,36443,32537,65521,32527
613,36443,32537,65521,32527
614,36443,32537,65521,32497
625,36301,32374,65521,32334
625,36256,32346,65521,32334
625,36256,32346,65521,32334
626,36256,32346,65521,32305
626,36256,32346,65521,32305
637,36042,32121,65521,32111
638,36042,32121,65521,32111
638,36042,32121,65521,32081
638,36042,32121,65521,32081
639,36005,32121,65521,32081
650,35837,31908,65521,31905
650,35837,31908,65521,31872
650,35837,31908,65521,31872
651,35802,31908,65521,31872
651,35802,31868,65521,31872
662,35653,31721,65521,31694
663,35653,31721,65521,31694
663,35615,31699,65521,31694
663,35615,31699,65521,31694
664,35615,31699,65521,31661
675,35471,31549,65521,31520
675,35453,31526,65521,31520
675,35453,31526,65521,31520
1717,35365,31188,65521,31167
1717,35365,31201,65521,31167
1718,35365,31201,65521,31167
1718,35365,31201,65521,31180
1729,35421,31248,65521,31219
1729,35421,31255,65521,31219
1730,35421,31255,65521,31219
1730,35421,31255,65521,31237
1731,35434,31255,65521,31237
1741,35492,31327,65521,31297
1742,35492,31327,65521,31297
1742,35492,31327,65521,31307
1743,35503,31327,65521,31307
1743,35503,31337,65521,31307
1754,35554,31387,65521,31350
1754,35554,31387,65521,31364
1755,35565,31387,65521,31364
1755,35565,31396,65521,31364
