Tiempo (ms);IR;AMB_IR;RED;AMB_RED
0;0;0;65521;0
16;65521;8694;65521;23112
33;65521;8689;65521;23122
50;65521;8698;65521;23134
66;65521;8704;65521;23134
83;65521;8694;65521;23122
100;65521;8678;65521;23107
116;65521;8677;65521;23112
133;65521;8687;65521;23116
150;65521;8696;65521;23126
166;65521;8700;65521;23131
183;65521;8697;65521;23122
200;65521;8689;65521;23113
216;65521;8684;65521;23111
233;65521;8685;65521;23112
250;65521;8699;65521;23125
267;65521;8695;65521;23131
283;65521;8696;65521;23129
300;65521;8692;65521;23122
317;65521;8687;65521;23113
333;65521;8684;65521;23113
350;65521;8698;65521;23123
367;65521;8699;65521;23128
383;65521;8696;65521;23122
400;65521;8686;65521;23111
417;65521;8686;65521;23114
433;65521;8683;65521;23114
450;65521;8693;65521;23119
467;65521;8701;65521;23126
483;65521;8694;65521;23121
500;65521;8691;65521;23124
517;65521;8679;65521;23104
533;65521;8679;65521;23112
550;65521;8693;65521;23126
567;65521;8700;65521;23130
583;65521;8698;65521;23124
600;65521;8684;65521;23124
617;65521;8679;65521;23110
633;65521;8684;65521;23115
650;65521;8695;65521;23113
667;65521;8697;65521;23129
683;65521;8697;65521;23123
700;65521;8683;65521;23121
717;65521;8680;65521;23109
733;65521;8689;65521;23116
750;65521;8694;65521;23118
767;65521;8701;65521;23127
783;65521;8702;65521;23128
800;65521;8690;65521;23123
817;65521;8681;65521;23107
833;65521;8681;65521;23114
850;65521;8689;65521;23112
867;65521;8694;65521;23124
883;65521;8692;65521;23121
900;65521;8686;65521;23122
917;65521;8681;65521;23110
933;65521;8681;65521;23114
950;65521;8690;65521;23112
967;65521;8696;65521;23125
983;65521;8691;65521;23119
999;65521;8690;65521;23109
1016;65521;8676;65521;23105
1033;65521;8689;65521;23114
1049;65521;8692;65521;23126
1066;65521;8694;65521;23120
1083;65521;8685;65521;23120
1099;65521;8680;65521;23116
1116;65521;8674;65521;23109
1133;65521;8684;65521;23109
1149;65521;8685;65521;23116
1166;65521;8697;65521;23125
1183;65521;8688;65521;23109
1199;65521;8683;65521;23110
1216;65521;8682;65521;23111
1233;65521;8686;65521;23117
1249;65521;8691;65521;23116
1266;65521;8697;65521;23124
1283;65521;8691;65521;23123
1299;65521;8683;65521;23113
1316;65521;8680;65521;23109
1333;65521;8680;65521;23109
1349;65521;8688;65521;23121
1366;65521;8695;65521;23128
1383;65521;8689;65521;23114
1399;65521;8682;65521;23117
1416;65521;8680;65521;23108
1433;65521;8681;65521;23106
1449;65521;8690;65521;23113
1466;65521;8699;65521;23133
1483;65521;8694;65521;23126
1499;65521;8686;65521;23117
1516;65521;8678;65521;23112
1533;65521;8688;65521;23110
1549;65521;8695;65521;23124
1566;65521;8695;65521;23126
1583;65521;8691;65521;23122
1599;65521;8686;65521;23119
1616;65521;8681;65521;23107
1633;65521;8681;65521;23108
1649;65521;8689;65521;23121
1666;65521;8691;65521;23126
1683;65521;8693;65521;23117
1699;65521;8689;65521;23111
1716;65521;8683;65521;23105
1733;65521;8680;65521;23106
1749;65521;8688;65521;23124
1766;65521;8699;65521;23125
1783;65521;8695;65521;23128
1799;65521;8688;65521;23114
1816;65521;8676;65521;23106
1833;65521;8683;65521;23107
1849;65521;8690;65521;23120
1866;65521;8697;65521;23127
1883;65521;8690;65521;23124
1899;65521;8684;65521;23121
1916;65521;8677;65521;23104
1933;65521;8683;65521;23113
1949;65521;8691;65521;23121
1966;65521;8695;65521;23126
1983;65521;8694;65521;23123
2000;65521;8686;65521;23118
2015;65521;8677;65521;23114
2032;65521;8684;65521;23119
2049;65521;8699;65521;23122
2065;65521;8699;65521;23125
2082;65521;8689;65521;23119
2099;65521;8685;65521;23112
2115;65521;8675;65521;23109
2132;65521;8686;65521;23113
2149;65521;8702;65521;23119
2165;65521;8700;65521;23126
2182;65521;8694;65521;23125
2199;65521;8680;65521;23110
2215;65521;8676;65521;23105
2232;65521;8685;65521;23110
2249;65521;8694;65521;23119
2265;65521;8698;65521;23123
2282;65521;8692;65521;23121
2299;65521;8679;65521;23112
2315;65521;8681;65521;23116
2332;65521;8683;65521;23110
2349;65521;8694;65521;23123
2365;65521;8700;65521;23123
2382;65521;8692;65521;23120
2399;65521;8683;65521;23120
2415;65521;8677;65521;23113
2432;65521;8685;65521;23114
2449;65521;8691;65521;23123
2465;65521;8698;65521;23125
2482;65521;8695;65521;23126
