Tiempo (ms);IR;AMB_IR;RED;AMB_RED
0;0;0;52367;0
16;53714;1781;54344;1743
33;53738;1776;54365;1733
50;53750;1776;54400;1743
66;53777;1774;54429;1747
83;53805;1782;54470;1746
100;53844;1795;54523;1765
116;53856;1797;54567;1763
133;53870;1782;54583;1743
150;53871;1771;54608;1732
166;53889;1770;54636;1739
183;53931;1800;54690;1763
200;54003;1850;54741;1817
217;54063;1907;54815;1868
233;54103;1931;54854;1886
250;54099;1916;54848;1880
267;54091;1889;54848;1858
283;54069;1860;54833;1833
300;54029;1800;54787;1780
317;53999;1766;54790;1731
333;54006;1756;54805;1715
350;54022;1755;54855;1720
367;54047;1763;54891;1731
383;54066;1772;54927;1736
400;54091;1782;54944;1753
417;54076;1792;54933;1753
433;54020;1781;54839;1744
450;53872;1764;54589;1727
467;53639;1763;54240;1733
483;53470;1785;54023;1755
500;53473;1823;54026;1785
517;53538;1851;54120;1813
533;53607;1841;54219;1802
550;53667;1821;54343;1782
567;53746;1800;54442;1775
583;53786;1801;54521;1771
600;53837;1806;54605;1772
617;53881;1823;54667;1787
633;53920;1828;54718;1787
650;53949;1839;54772;1797
667;53997;1849;54816;1818
683;54024;1864;54855;1835
700;54055;1873;54872;1834
717;54038;1853;54884;1815
733;54002;1801;54857;1762
750;53987;1763;54826;1723
767;53982;1747;54839;1713
783;54006;1762;54867;1729
800;54076;1805;54954;1767
817;54162;1862;55041;1834
833;54225;1913;55099;1877
850;54236;1912;55113;1875
867;54197;1861;55088;1825
883;54153;1795;55062;1768
900;54141;1772;55039;1727
917;54137;1757;55048;1717
933;54156;1754;55067;1718
950;54179;1773;55103;1743
967;54240;1812;55151;1783
983;54289;1855;55200;1823
999;54332;1879;55257;1851
1016;54314;1857;55248;1824
1033;54279;1813;55216;1774
1049;54273;1791;55196;1757
1066;54279;1787;55210;1750
1083;54312;1810;55245;1777
1099;54358;1842;55291;1812
1116;54392;1872;55323;1829
1133;54392;1867;55340;1834
1149;54389;1863;55321;1827
1166;54343;1829;55250;1800
1183;54281;1824;55145;1785
1199;54126;1817;54929;1786
1216;53874;1825;54514;1787
1233;53692;1820;54275;1786
1249;53645;1829;54222;1794
1266;53676;1830;54282;1800
1283;53754;1826;54379;1793
1299;53837;1812;54521;1785
1316;53896;1812;54620;1776
1333;53946;1798;54683;1760
1349;53980;1804;54743;1775
1366;54027;1808;54813;1777
1383;54070;1835;54861;1795
1399;54123;1846;54919;1819
1416;54130;1852;54936;1816
1433;54130;1831;54932;1795
1449;54124;1815;54928;1777
1466;54116;1792;54921;1764
1483;54124;1789;54935;1752
1499;54157;1805;54959;1779
1516;54179;1828;55000;1794
1533;54211;1825;55029;1793
1549;54221;1823;55038;1790
1566;54224;1806;55053;1775
1583;54231;1804;55066;1765
1599;54259;1801;55095;1772
1616;54264;1806;55116;1777
1633;54292;1802;55131;1768
1649;54296;1803;55155;1770
1666;54307;1801;55167;1767
1683;54312;1799;55186;1764
1699;54333;1802;55210;1771
1716;54347;1811;55220;1771
1733;54363;1802;55218;1767
1749;54364;1802;55230;1763
1766;54378;1802;55257;1772
1783;54392;1812;55263;1774
1799;54409;1810;55281;1782
1816;54421;1820;55301;1780
1833;54426;1809;55303;1777
1849;54434;1810;55317;1772
1866;54430;1801;55309;1768
1883;54408;1795;55273;1765
1899;54367;1801;55203;1767
1916;54231;1798;54943;1764
1933;53881;1773;54483;1734
1949;53626;1755;54097;1720
1966;53506;1742;53950;1705
1983;53491;1744;53946;1701
2000;53571;1747;54068;1722
2015;53656;1760;54195;1721
2032;53728;1748;54327;1702
2049;53790;1738;54409;1699
2065;53844;1730;54485;1698
2082;53883;1731;54541;1695
2099;53937;1751;54608;1715
2115;53966;1759;54657;1719
2132;53987;1755;54696;1722
2149;54011;1751;54723;1720
