Tiempo (ms),IR,AMB_IR,RED,AMB_RED
0,0,56513,44741,0
16,53668,636,46552,607
33,53682,648,46524,611
50,53652,644,46459,605
66,53687,635,46544,614
83,53947,660,47106,629
100,54179,675,47704,638
116,54343,667,48071,647
133,54425,676,48216,641
150,54454,681,48292,642
166,54466,672,48366,650
183,54519,678,48503,647
200,54535,686,48571,648
216,54524,668,48601,648
233,54539,674,48667,636
250,54626,677,48951,639
267,54854,663,49478,639
283,55157,679,50037,650
300,55433,680,50664,639
317,55556,652,50941,628
333,56482,655,52729,615
350,56624,667,52927,623
367,56579,663,52928,639
383,56733,688,53278,649
400,56770,705,53490,665
417,56761,702,53606,679
433,56882,724,53893,687
450,57015,741,54238,703
467,57176,752,54434,726
483,57507,805,54699,768
500,57648,835,54730,796
517,57658,832,54648,808
533,57560,840,54498,800
550,57482,835,54327,803
567,57393,815,54151,792
583,57304,830,54014,793
600,57196,832,53792,788
617,57054,811,53584,787
633,56987,820,53447,782
650,56921,816,53339,780
667,56868,795,53267,771
683,56801,805,53140,771
700,56700,809,52898,774
717,56558,797,52630,776
733,56379,801,52279,765
750,56215,790,51931,756
767,56096,770,51783,746
783,55915,787,51521,746
800,55620,792,50938,755
817,55201,794,50229,772
833,54804,822,49431,790
850,54302,842,48283,812
867,53587,836,47003,818
883,52883,867,45592,837
900,52253,884,44189,852
917,51747,881,43297,858
933,51274,882,42325,854
950,50856,873,41357,849
967,50325,849,40365,826
983,49889,858,39416,832
999,49516,850,38578,820
1016,49127,821,37659,799
1033,48924,824,37207,789
1049,48669,809,36706,775
1066,48469,777,36251,760
1083,48409,789,36082,758
1099,48506,778,36196,753
1116,48619,763,36353,747
1133,48819,777,36643,743
1149,49216,764,37327,731
1166,49665,730,38330,710
1183,50282,731,39532,700
1199,51228,736,41243,705
1216,52045,718,43112,699
1233,52798,722,44593,684
1249,53555,710,45951,679
1266,54127,687,47270,660
1283,54616,687,48167,647
1299,54813,650,48644,621
1316,54713,601,48297,572
1333,54833,588,48409,553
1349,55108,566,48927,533
1366,55401,554,49578,522
1383,55679,563,49965,522
1399,55841,562,50209,525
1416,55962,543,50452,520
1433,56096,550,50652,513
1449,56166,530,50801,493
1466,56234,520,50989,488
1483,56316,532,51137,494
1499,56361,529,51183,497
1516,56376,522,51194,493
1533,56383,521,51151,486
1549,56400,515,51120,479
1566,56436,497,51201,468
1583,56468,512,51240,472
1599,56472,516,51227,477
1616,56489,500,51294,473
1633,56542,512,51402,469
1649,56570,506,51485,468
1666,56593,496,51540,465
1683,56615,509,51565,470
1699,56647,514,51618,476
1716,56668,501,51665,472
1733,56698,512,51716,473
1749,56716,504,51758,470
1766,56731,490,51798,463
1783,56764,511,51845,466
1799,56791,509,51888,472
1816,56805,502,51932,474
1833,56826,507,51974,466
1849,56853,503,51993,464
1866,56865,489,52043,457
1883,56893,514,52089,465
1899,56927,509,52136,471
1916,56943,501,52151,471
1933,56981,515,52203,475
1950,56991,509,52231,470
1966,57011,494,52263,463
1983,57035,511,52308,472
2000,57053,511,52331,471
2015,57062,507,52343,468
2032,57081,514,52363,469
2049,57089,502,52388,463
2065,57112,491,52426,462
2082,57144,509,52464,467
2099,57165,514,52519,477
2115,57171,507,52525,475
2132,57184,508,52547,475
2149,57192,505,52565,465
2165,57182,497,52561,459
2182,57194,511,52585,473
2199,57206,514,52619,478
2215,57203,501,52635,466
2232,57222,510,52690,466
2249,57242,501,52726,466
2265,57254,491,52778,465
2282,57294,510,52837,468
2299,57322,512,52874,476
2315,57342,502,52924,468
2332,57367,507,52971,469
2349,57385,498,52999,462
2365,57385,489,53035,462
2382,57421,502,53097,469
2399,57442,510,53133,476
2415,57445,501,53175,470
2432,57463,506,53199,466
2449,57460,497,53210,462
2465,57464,492,53253,463
2482,57495,510,53303,469
2499,57520,502,53351,472
2515,57537,499,53397,470
2532,57551,508,53442,467
2549,57574,498,53488,464
2565,57595,494,53529,466
2582,57613,506,53567,467
2599,57626,511,53603,469
2615,57640,500,53635,464
2632,57656,508,53670,467
2649,57663,500,53687,463
2665,57670,490,53713,460
