Tiempo (ms),IR,AMB_IR,RED,AMB_RED
0,0,0,57921,0
16,3458,20983,59866,20967
33,3523,21024,59940,21007
50,3639,21125,60070,21109
66,3713,21180,60140,21170
83,3718,21157,60126,21145
100,3680,21101,60105,21091
116,3667,21083,60093,21066
133,3728,21120,60127,21103
150,3762,21148,60172,21130
166,3811,21168,60187,21158
183,3840,21160,60217,21149
200,3841,21154,60253,21139
216,3890,21178,60298,21166
233,3955,21261,60363,21238
250,3970,21281,60319,21274
266,3875,21202,60233,21181
283,3702,21066,60066,21059
300,3648,21047,60009,21027
316,3659,21078,60002,21069
333,3684,21117,60002,21096
350,3676,21119,59992,21107
367,3625,21066,59943,21049
383,3519,20972,59834,20956
400,3433,20893,59739,20874
417,3438,20872,59755,20858
433,3448,20890,59765,20868
450,3517,20936,59830,20916
467,3581,20981,59914,20972
483,3652,21029,59989,21012
500,3663,21023,60004,21011
517,3652,20991,59970,20975
533,3630,20951,59961,20944
550,3592,20889,59892,20865
567,3534,20816,59867,20805
583,3492,20764,59840,20745
600,3505,20749,59862,20739
617,3564,20788,59890,20780
633,3683,20898,60012,20872
650,3799,21001,60137,20983
667,3886,21051,60224,21039
683,3857,21009,60224,20993
700,3777,20904,60144,20888
717,3722,20834,60101,20814
733,3725,20816,60081,20810
750,3739,20807,60109,20792
767,3759,20798,60114,20788
783,3781,20800,60158,20787
800,3776,20793,60152,20773
817,3828,20813,60221,20799
833,3955,20942,60325,20916
850,4091,21042,60466,21031
867,4083,21030,60440,21004
883,3947,20852,60304,20840
900,3875,20770,60240,20756
917,3856,20735,60269,20717
933,3889,20750,60291,20733
950,3935,20773,60347,20753
967,3966,20779,60338,20765
983,3954,20742,60317,20735
999,3901,20675,60300,20657
1016,3832,20586,60203,20581
1033,3785,20529,60152,20504
1049,3798,20533,60171,20512
1066,3852,20573,60242,20556
1083,3912,20611,60308,20604
1099,3998,20673,60342,20663
1116,4011,20686,60379,20672
1133,3977,20660,60338,20637
1149,3919,20638,60311,20625
1166,3918,20673,60262,20657
1183,3906,20686,60194,20668
1199,3849,20645,60153,20632
1216,3766,20579,60061,20559
1233,3697,20530,60008,20513
1249,3672,20501,59990,20480
1266,3649,20476,59960,20457
1283,3647,20463,59985,20459
1299,3685,20507,60018,20484
1316,3779,20584,60105,20575
1333,3908,20686,60223,20678
1349,3961,20728,60309,20711
1366,3879,20633,60217,20606
1383,3805,20539,60134,20522
1399,3762,20467,60108,20457
1416,3732,20417,60069,20397
1433,3733,20409,60107,20393
1449,3798,20454,60160,20436
1466,3951,20601,60320,20592
1483,4158,20765,60490,20756
1499,4299,20915,60611,20893
1516,4172,20760,60470,20726
1533,3942,20543,60255,20522
1549,3863,20436,60227,20430
1566,3871,20439,60243,20427
1583,3960,20491,60299,20489
1599,4092,20630,60397,20604
1616,4259,20773,60589,20769
1633,4272,20778,60615,20753
1649,4158,20635,60486,20624
1666,4111,20578,60434,20557
1683,4071,20518,60401,20497
1699,4054,20482,60380,20464
1716,4087,20507,60447,20493
1733,4169,20569,60489,20546
1749,4213,20594,60544,20575
1766,4200,20562,60529,20537
1783,4191,20533,60539,20515
1799,4228,20554,60589,20540
1816,4271,20589,60615,20571
1833,4303,20596,60611,20577
1849,4299,20565,60607,20554
1866,4277,20523,60617,20502
1883,4236,20471,60574,20443
1899,4222,20433,60601,20415
1916,4258,20449,60644,20431
1933,4309,20480,60682,20453
1950,4378,20524,60781,20506
1966,4431,20567,60812,20543
1983,4409,20545,60771,20519
2000,4353,20496,60729,20487
2015,4311,20488,60683,20469
2032,4287,20494,60623,20474
2049,4295,20535,60626,20524
2065,4338,20607,60668,20579
2082,4296,20578,60591,20559
2099,4185,20489,60502,20469
2115,4136,20441,60446,20429
2132,4127,20443,60445,20428
2149,4137,20467,60447,20444
2165,4168,20497,60479,20474
2182,4130,20460,60418,20438
2199,4085,20395,60410,20371
2215,4097,20387,60420,20369
2232,4136,20412,60458,20394
2249,4180,20438,60499,20415
2265,4234,20477,60535,20450
2282,4300,20525,60636,20510
2299,4382,20581,60698,20568
2315,4493,20685,60807,20662
2332,4564,20730,60895,20710
2349,4397,20573,60747,20544
2365,4297,20443,60622,20428
2382,4280,20409,60610,20386
2399,4275,20381,60617,20366
2415,4318,20406,60655,20383
2432,4405,20483,60763,20475
2449,4534,20573,60904,20565
2465,4620,20650,60968,20630
2482,4631,20639,60978,20623
2499,4602,20599,60960,20578
2515,4561,20538,60939,20527
2532,4504,20469,60878,20447
2549,4469,20421,60840,20404
2565,4516,20446,60892,20431
2582,4580,20493,60959,20488
2599,4645,20535,61026,20524
2615,4675,20553,61064,20528
2632,4691,20558,61072,20532
2649,4689,20540,61069,20519
2665,4677,20508,61052,20487
2682,4667,20472,61077,20462
2699,4681,20460,61080,20443
2715,4710,20482,61128,20463
2732,4766,20519,61177,20504
2749,4818,20557,61213,20539
2765,4864,20582,61257,20573
2782,4896,20600,61301,20595
2799,4939,20618,61332,20603
2815,4977,20655,61399,20643
2832,5022,20679,61415,20657
2849,5009,20665,61386,20645
2865,4976,20624,61357,20610
2882,4924,20593,61291,20577
2899,4891,20586,61266,20571
2915,4849,20590,61207,20570
2932,4834,20601,61166,20576
2949,4819,20605,61151,20585
2965,4798,20601,61138,20577
2982,4775,20591,61115,20571
2999,4757,20571,61069,20552
3016,4731,20553,61056,20536
3031,4729,20548,61031,20526
3048,4744,20558,61048,20540
3065,4749,20550,61062,20544
3081,4751,20547,61072,20527
3098,4765,20542,61092,20530
3115,4796,20549,61116,20530
3131,4812,20549,61148,20535
3148,4847,20558,61194,20541
3165,4927,20614,61274,20605
3181,5009,20700,61356,20678
3198,5100,20773,61450,20763
3215,5109,20778,61449,20757
3231,5045,20681,61394,20674
3248,4968,20585,61307,20558
3265,4911,20519,61268,20503
3281,4907,20501,61286,20480
3298,4946,20525,61338,20515
3315,5020,20566,61366,20554
3331,5055,20597,61399,20584
3348,5080,20609,61440,20586
3365,5090,20601,61461,20588
3381,5084,20593,61463,20574
3398,5095,20580,61471,20568
