Tiempo (ms),IR,AMB_IR,RED,AMB_RED
0,0,0,17758,0
16,59008,47415,18188,47464
33,59220,47625,18394,47644
50,59432,47831,18620,47852
66,59654,48049,18852,48081
83,59925,48295,19105,48319
100,60138,48493,19368,48507
116,60289,48627,19529,48658
133,60385,48707,19631,48738
150,60535,48844,19796,48867
166,60694,49001,19956,49046
183,60842,49147,20087,49183
200,60886,49193,20152,49210
216,60973,49273,20229,49313
233,61116,49397,20376,49432
250,61167,49441,20458,49474
267,61213,49467,20521,49500
283,61258,49492,20575,49523
300,61274,49493,20630,49529
317,61298,49512,20640,49545
333,61308,49529,20652,49557
350,61275,49514,20577,49547
367,61169,49461,20425,49485
383,60976,49348,20162,49394
400,60814,49278,19895,49318
417,60714,49251,19724,49274
433,60643,49233,19631,49270
450,60614,49223,19580,49246
467,60589,49199,19555,49227
483,60580,49173,19557,49208
500,60570,49150,19599,49176
517,60598,49130,19668,49162
533,60630,49105,19746,49154
550,60637,49086,19782,49112
567,60626,49072,19781,49103
583,60664,49109,19821,49131
600,60681,49117,19845,49144
617,60654,49081,19822,49110
633,60618,49030,19799,49063
650,60611,49024,19801,49050
667,60633,49017,19846,49053
683,60663,49036,19899,49072
700,60679,49032,19923,49061
717,60675,49009,19939,49046
733,60676,48989,19956,49029
750,60701,48996,19993,49030
767,60756,49039,20060,49073
783,60832,49116,20139,49142
800,60831,49116,20152,49138
817,60771,49032,20119,49060
833,60752,48989,20120,49016
850,60747,48962,20133,48988
867,60760,48960,20160,48996
883,60775,48971,20177,49012
900,60782,48972,20190,49004
917,60775,48960,20180,48988
933,60758,48931,20187,48968
950,60733,48888,20173,48921
967,60724,48855,20206,48889
983,60752,48858,20242,48886
999,60787,48886,20293,48911
1016,60843,48946,20348,48975
1033,60883,48994,20367,49028
1049,60842,49006,20273,49040
1066,60693,48932,20027,48971
1083,60476,48812,19721,48839
1099,60270,48706,19451,48744
1116,60213,48721,19303,48746
1133,60205,48755,19256,48783
1149,60201,48772,19239,48804
1166,60196,48773,19230,48806
1183,60189,48767,19238,48803
1199,60208,48762,19269,48791
1216,60264,48774,19362,48817
1233,60308,48795,19449,48828
1249,60340,48799,19501,48832
1266,60368,48812,19538,48836
1283,60386,48818,19563,48852
1299,60373,48802,19551,48836
1316,60357,48785,19536,48821
1333,60398,48829,19564,48859
1349,60441,48871,19617,48898
1366,60463,48876,19660,48896
1383,60484,48873,19699,48901
1399,60496,48876,19728,48908
1416,60511,48874,19749,48912
