Tiempo (ms),IR,AMB_IR,RED,AMB_RED,IR_net,RED_net
3016,54062,1770,54621,1734,52292,52887
3031,54081,1774,54640,1734,52307,52906
3048,54110,1783,54681,1749,52327,52932
3065,54141,1796,54712,1757,52345,52955
3081,54173,1804,54751,1777,52369,52974
3098,54214,1829,54785,1798,52385,52987
3115,54251,1847,54828,1815,52404,53013
3131,54276,1857,54865,1816,52419,53049
3148,54282,1851,54885,1821,52431,53064
3165,54249,1814,54852,1774,52435,53078
3181,54236,1775,54828,1747,52461,53081
3198,54240,1770,54848,1735,52470,53113
3215,54257,1767,54868,1733,52490,53135
3231,54278,1779,54899,1737,52499,53162
3248,54293,1781,54922,1752,52512,53170
3265,54314,1792,54943,1752,52522,53191
3281,54329,1792,54957,1761,52537,53196
3298,54359,1807,54986,1774,52552,53212
3315,54377,1808,55004,1770,52569,53234
3331,54379,1808,55013,1766,52571,53247
3348,54380,1809,55013,1775,52571,53238
3365,54353,1803,54957,1774,52550,53183
3381,54274,1811,54830,1781,52463,53049
3398,54039,1821,54386,1782,52218,52604
3415,53628,1806,53883,1772,51822,52111
3431,53381,1790,53547,1752,51591,51795
3448,53279,1781,53409,1746,51498,51663
3465,53282,1775,53433,1740,51507,51693
3481,53371,1784,53545,1753,51587,51792
3498,53476,1808,53723,1766,51668,51957
3515,53578,1806,53847,1772,51772,52075
3531,53640,1801,53939,1756,51839,52183
3548,53688,1789,54037,1759,51899,52278
3565,53742,1786,54106,1754,51956,52352
3581,53791,1784,54181,1756,52007,52425
3598,53833,1798,54252,1762,52035,52490
3615,53872,1796,54287,1759,52076,52528
3631,53887,1794,54308,1751,52093,52557
3648,53905,1795,54352,1761,52110,52591
3665,53923,1793,54361,1756,52130,52605
3681,53940,1796,54391,1766,52144,52625
3698,53961,1800,54398,1763,52161,52635
3715,53960,1789,54425,1752,52171,52673
3731,53975,1777,54441,1738,52198,52703
3748,53986,1774,54463,1736,52212,52727
3765,54015,1772,54497,1738,52243,52759
3781,54049,1786,54534,1753,52263,52781
3798,54096,1808,54595,1774,52288,52821
3815,54128,1817,54628,1777,52311,52851
3831,54137,1811,54644,1773,52326,52871
3848,54144,1796,54667,1766,52348,52901
3865,54140,1782,54670,1748,52358,52922
3881,54163,1777,54669,1744,52386,52925
3898,54190,1798,54704,1758,52392,52946
3915,54205,1793,54733,1755,52412,52978
3931,54210,1788,54743,1747,52422,52996
3948,54217,1779,54759,1745,52438,53014
3965,54235,1783,54773,1743,52452,53030
3981,54244,1780,54769,1749,52464,53020
3998,54256,1777,54792,1736,52479,53056
4015,54253,1763,54801,1727,52490,53074
4032,54258,1755,54820,1720,52503,53100
4047,54281,1762,54820,1720,52519,53100
4064,54298,1768,54858,1732,52530,53126
4081,54344,1798,54889,1762,52546,53127
4097,54391,1838,54947,1795,52553,53152
4114,54424,1851,54979,1813,52573,53166
4131,54414,1834,54970,1796,52580,53174
4147,54357,1795,54907,1758,52562,53149
4164,54295,1769,54805,1735,52526,53070
4181,54127,1781,54546,1738,52346,52808
4197,53797,1797,54050,1759,52000,52291
4214,53513,1802,53609,1768,51711,51841
4231,53358,1804,53419,1770,51554,51649
