Tiempo (ms),IR,AMB_IR,RED,AMB_RED,IR_net,RED_net
2000,47868,12106,32449,12091,35762,20358
2015,47973,12165,32540,12149,35808,20391
2032,48069,12216,32664,12204,35853,20460
2049,48117,12212,32733,12198,35905,20535
2065,48025,12158,32633,12144,35867,20489
2082,47749,12105,32157,12097,35644,20060
2099,47434,12101,31741,12087,35333,19654
2115,47269,12123,31497,12106,35146,19391
2132,47154,12146,31288,12134,35008,19154
2149,47075,12153,31175,12145,34922,19030
2165,47039,12150,31119,12140,34889,18979
2182,47036,12133,31142,12120,34903,19022
2199,47075,12132,31199,12115,34943,19084
2215,47144,12146,31278,12133,34998,19145
2232,47199,12150,31374,12137,35049,19237
2249,47267,12145,31455,12141,35122,19314
2265,47304,12143,31519,12130,35161,19389
2282,47330,12121,31565,12108,35209,19457
2299,47368,12100,31620,12081,35268,19539
2315,47423,12114,31689,12097,35309,19592
2332,47468,12138,31747,12126,35330,19621
2349,47506,12159,31790,12151,35347,19639
2365,47503,12169,31776,12155,35334,19621
2382,47451,12132,31709,12116,35319,19593
2399,47395,12103,31645,12083,35292,19562
2415,47381,12089,31625,12082,35292,19543
2432,47396,12102,31644,12087,35294,19557
2449,47438,12114,31679,12107,35324,19572
2465,47479,12131,31725,12115,35348,19610
2482,47497,12119,31772,12104,35378,19668
2499,47513,12092,31802,12075,35421,19727
2515,47552,12082,31861,12066,35470,19795
2532,47603,12081,31940,12070,35522,19870
2549,47684,12107,32025,12092,35577,19933
2565,47751,12124,32101,12112,35627,19989
2582,47786,12108,32175,12092,35678,20083
2599,47826,12106,32222,12081,35720,20141
2615,47881,12107,32299,12092,35774,20207
2632,47941,12123,32385,12109,35818,20276
2649,48017,12142,32464,12130,35875,20334
2665,48073,12171,32537,12155,35902,20382
2682,48096,12152,32576,12139,35944,20437
2699,48106,12132,32596,12118,35974,20478
2715,48148,12137,32657,12125,36011,20532
2732,48198,12155,32714,12143,36043,20571
2749,48240,12162,32761,12149,36078,20612
2765,48263,12146,32809,12137,36117,20672
2782,48279,12114,32843,12105,36165,20738
2799,48316,12097,32907,12082,36219,20825
2815,48386,12117,32994,12104,36269,20890
2832,48380,12134,32960,12121,36246,20839
2849,48131,12126,32610,12116,36005,20494
2865,47820,12114,32090,12100,35706,19990
2882,47595,12110,31761,12109,35485,19652
2899,47442,12137,31556,12120,35305,19436
2915,47400,12192,31446,12179,35208,19267
2932,47384,12212,31427,12200,35172,19227
2949,47343,12160,31398,12149,35183,19249
2966,47296,12084,31367,12070,35212,19297
2982,47295,12045,31390,12034,35250,19356
2999,47365,12052,31480,12040,35313,19440
3016,47471,12117,31610,12098,35354,19512
3031,47589,12194,31713,12172,35395,19541
3048,47666,12230,31824,12218,35436,19606
3065,47673,12193,31845,12174,35480,19671
3081,47611,12098,31803,12085,35513,19718
3098,47601,12056,31797,12040,35545,19757
3115,47643,12081,31844,12069,35562,19775
3131,47683,12114,31893,12101,35569,19792
3148,47712,12148,31920,12137,35564,19783
3165,47705,12149,31896,12134,35556,19762
3181,47645,12099,31838,12085,35546,19753
3198,47629,12075,31807,12055,35554,19752
3215,47661,12092,31845,12079,35569,19766
3231,47719,12134,31895,12116,35585,19779
3248,47774,12161,31969,12153,35613,19816
3265,47827,12167,32025,12157,35660,19868
3281,47848,12150,32058,12139,35698,19919
3298,47877,12135,32115,12119,35742,19996
3315,47935,12142,32191,12126,35793,20065
3331,47995,12157,32275,12139,35838,20136
3348,48059,12165,32371,12161,35894,20210
3365,48111,12175,32421,12164,35936,20257
3381,48135,12157,32460,12145,35978,20315
3398,48153,12138,32506,12116,36015,20390
3415,48196,12150,32556,12126,36046,20430
3431,48232,12149,32615,12132,36083,20483
3448,48281,12157,32678,12148,36124,20530
3465,48331,12174,32720,12162,36157,20558
3481,48356,12173,32762,12163,36183,20599
3498,48384,12176,32805,12158,36208,20647
3515,48432,12189,32861,12177,36243,20684
3531,48470,12203,32912,12185,36267,20727
3548,48512,12208,32976,12195,36304,20781
3565,48563,12200,33034,12189,36363,20845
