Tiempo (ms),IR,AMB_IR,RED,AMB_RED,IR_net,RED_net
2000,24345,1137,61374,1146,23208,60228
2015,24382,1172,61414,1174,23210,60240
2032,24406,1173,61453,1163,23233,60290
2049,24406,1151,61470,1145,23255,60325
2065,24459,1170,61541,1158,23289,60383
2082,24491,1167,61605,1160,23324,60445
2099,24534,1166,61671,1140,23368,60531
2115,24599,1174,61768,1171,23425,60597
2132,24643,1172,61853,1168,23471,60685
2149,24677,1159,61923,1150,23518,60773
2165,24724,1156,61999,1134,23568,60865
2182,24759,1132,62066,1127,23627,60939
2199,24823,1170,62165,1151,23653,61014
2215,24881,1176,62240,1165,23705,61075
2232,24895,1145,62285,1142,23750,61143
2249,24954,1173,62367,1160,23781,61207
2265,24989,1173,62421,1153,23816,61268
2282,25024,1159,62482,1155,23865,61327
2299,25057,1165,62541,1151,23892,61390
2315,25110,1172,62596,1164,23938,61432
2332,25132,1165,62651,1159,23967,61492
2349,25154,1156,62692,1150,23998,61542
2365,25181,1141,62743,1134,24040,61609
2382,25239,1159,62837,1149,24080,61688
2399,25279,1147,62906,1131,24132,61775
2415,25378,1170,63040,1166,24208,61874
2432,25431,1165,63140,1163,24266,61977
2449,25472,1153,63212,1145,24319,62067
2465,25520,1155,63288,1153,24365,62135
2482,25521,1164,63269,1158,24357,62111
2499,25361,1163,63028,1151,24198,61877
2515,25089,1150,62561,1142,23939,61419
2532,24795,1172,62007,1165,23623,60842
2549,24494,1165,61572,1161,23329,60411
2565,24290,1164,61251,1147,23126,60104
2582,24167,1149,61028,1145,23018,59883
2599,24091,1159,60937,1146,22932,59791
2615,24067,1164,60893,1152,22903,59741
2632,24029,1143,60859,1141,22886,59718
2649,24017,1138,60854,1129,22879,59725
2665,24058,1159,60900,1146,22899,59754
2682,24092,1151,60984,1149,22941,59835
2699,24148,1157,61084,1145,22991,59939
2715,24206,1152,61162,1148,23054,60014
2732,24220,1140,61207,1131,23080,60076
2749,24256,1157,61251,1145,23099,60106
2765,24253,1155,61249,1147,23098,60102
2782,24241,1143,61237,1138,23098,60099
2799,24250,1142,61245,1134,23108,60111
2815,24274,1145,61289,1147,23129,60142
2832,24300,1162,61331,1154,23138,60177
2849,24303,1133,61350,1125,23170,60225
2865,24360,1157,61438,1140,23203,60298
2882,24370,1119,61475,1106,23251,60369
2899,24449,1157,61586,1144,23292,60442
2915,24507,1158,61680,1149,23349,60531
2932,24539,1139,61739,1130,23400,60609
2949,24615,1164,61850,1152,23451,60698
2965,24645,1145,61910,1130,23500,60780
2982,24677,1131,61967,1118,23546,60849
2999,24729,1143,62044,1123,23586,60921
3016,24797,1166,62154,1158,23631,60996
3031,24834,1165,62187,1135,23669,61052
3048,24866,1161,62268,1149,23705,61119
3065,24910,1154,62327,1144,23756,61183
3081,24928,1151,62351,1121,23777,61230
3098,24969,1155,62444,1147,23814,61297
3115,25020,1169,62500,1159,23851,61341
3131,25042,1157,62521,1123,23885,61398
3148,25053,1136,62586,1129,23917,61457
3165,25095,1136,62657,1125,23959,61532
3181,25144,1135,62723,1110,24009,61613
3198,25193,1139,62821,1124,24054,61697
3215,25279,1166,62942,1143,24113,61799
3231,25342,1166,63022,1130,24176,61892
3248,25380,1154,63115,1146,24226,61969
3265,25403,1139,63152,1124,24264,62028
3281,25405,1149,63127,1111,24256,62016
3298,25328,1166,62971,1151,24162,61820
3315,25091,1174,62612,1155,23917,61457
3331,24807,1160,62141,1136,23647,61005
3348,24546,1153,61666,1144,23393,60522
3365,24326,1142,61353,1135,23184,60218
3381,24182,1125,61134,1090,23057,60044
3398,24160,1152,61072,1141,23008,59931
3415,24135,1153,61052,1147,22982,59905
3431,24129,1155,61050,1123,22974,59927
3448,24139,1143,61100,1132,22996,59968
3465,24186,1136,61165,1128,23050,60037
3481,24229,1127,61247,1103,23102,60144
3498,24297,1136,61377,1126,23161,60251
3515,24349,1144,61458,1129,23205,60329
3531,24378,1152,61498,1125,23226,60373
3548,24388,1154,61510,1140,23234,60370
3565,24385,1147,61495,1135,23238,60360
3581,24360,1142,61481,1112,23218,60369
3598,24362,1123,61480,1109,23239,60371
3615,24405,1146,61540,1138,23259,60402
3631,24417,1152,61570,1123,23265,60447
3648,24449,1139,61626,1125,23310,60501
3665,24480,1135,61675,1125,23345,60550
3681,24503,1136,61738,1114,23367,60624
3698,24576,1149,61822,1131,23427,60691
3715,24615,1136,61896,1126,23479,60770
3731,24629,1124,61956,1098,23505,60858
3748,24708,1147,62052,1137,23561,60915
3765,24737,1127,62098,1115,23610,60983
3781,24765,1138,62180,1118,23627,61062
3798,24835,1148,62243,1137,23687,61106
3815,24869,1147,62306,1139,23722,61167
3831,24879,1144,62363,1120,23735,61243
3848,24928,1146,62408,1138,23782,61270
3865,24938,1123,62423,1107,23815,61316
3881,24961,1143,62502,1123,23818,61379
3898,25017,1146,62547,1130,23871,61417
3915,25054,1151,62595,1141,23903,61454
3931,25034,1125,62629,1103,23909,61526
3948,25104,1151,62704,1134,23953,61570
3965,25146,1143,62765,1128,24003,61637
3981,25147,1109,62821,1088,24038,61733
