Tiempo (ms);IR;AMB_IR;RED;AMB_RED
5014;65521;20749;65521;20747
5031;65521;20447;65521;20504
5048;65521;20189;65521;20241
5063;65521;19920;65521;19975
5080;65521;19608;65521;19625
5097;65521;19244;65521;19249
5113;65521;18844;65521;18899
5130;65521;18612;65521;18643
5147;65521;18412;65521;18444
5163;65309;18208;65521;18241
5180;65150;17888;65521;17912
5197;64603;17515;65521;17506
5213;63987;16775;65521;16865
5230;63339;16060;65521;16048
5247;62695;15432;65521;15444
5263;62131;14834;65521;14893
5280;61615;14271;65521;14264
5297;61006;13726;65521;13713
5313;60641;13282;65521;13342
5330;60413;13024;65521;13042
5347;60090;12747;65521;12778
5363;59768;12518;65521;12547
5380;59425;12294;65521;12316
5397;59232;12202;65521;12226
5413;59151;12145;65521;12181
5430;59106;12116;65521;12141
5447;59055;12055;65521;12088
5463;58935;11899;65521;11929
5480;58885;11825;65521;11856
5497;58866;11775;65521;11803
5513;58847;11718;65521;11761
5530;58876;11715;65521;11742
5547;58830;11637;65521;11670
5563;58658;11443;65521;11475
5580;58478;11236;65521;11257
5597;58194;10996;65521;11002
5613;58023;10770;65521;10816
5630;57972;10713;65521;10733
5647;57915;10640;65521;10681
5663;57829;10549;65521;10584
5680;57710;10406;65521;10423
5697;57481;10193;65521;10195
5713;57338;9977;65521;10020
5730;57388;10035;65521;10075
5747;57564;10186;65521;10211
5763;57586;10177;65521;10198
5780;57534;10103;65521;10135
5797;57420;9963;65521;10001
5813;57286;9815;65521;9855
5830;57218;9719;65521;9736
5847;57158;9665;65521;9685
5863;57217;9749;65521;9766
5880;57271;9893;65521;9944
5897;57198;9948;65521;9988
5913;56985;9845;65521;9891
5930;56735;9656;65521;9686
5947;56616;9565;65521;9595
5963;56547;9490;65521;9514
5980;56568;9488;65521;9518
5997;56661;9541;65521;9575
6014;56734;9582;65521;9614
6030;56807;9628;65521;9658
6047;56903;9688;65521;9710
6064;56914;9680;65521;9699
6079;56858;9598;65521;9626
6096;56804;9517;65521;9539
6113;56744;9472;65521;9496
6129;56703;9404;65521;9441
6146;56704;9398;65521;9448
6163;56803;9460;65521;9509
6179;56830;9494;65521;9518
6196;56826;9466;65521;9489
6213;56741;9395;65521;9414
6229;56658;9251;65521;9297
6246;56592;9185;65521;9230
6263;56655;9196;65521;9239
6279;56715;9234;65521;9261
6296;56843;9337;65521;9369
6313;56957;9426;65521;9447
6329;56949;9387;65521;9433
6346;56910;9333;65521;9373
6363;56840;9226;65521;9263
6379;56763;9163;65521;9189
6396;56666;9133;65521;9149
6413;56478;9087;65521;9104
6429;56288;8991;65521;9026
6446;56116;8897;65521;8938
6463;56035;8853;65521;8890
6479;55961;8793;65521;8815
6496;56041;8842;65521;8864
6513;56213;8959;65521;8998
6529;56313;9022;65521;9049
6546;56347;9037;65521;9069
6563;56339;8986;65521;9013
6579;56261;8883;65521;8914
6596;56180;8772;65521;8786
6613;56054;8654;65521;8673
6629;56033;8595;65521;8636
6646;55965;8529;65521;8564
6663;55904;8465;65521;8487
6679;55849;8397;65521;8420
6696;55790;8313;65521;8320
6713;55736;8244;65521;8289
6729;55745;8231;65521;8268
6746;55754;8225;65521;8271
6763;55785;8240;65521;8266
6779;55707;8131;65521;8166
6796;55603;8001;65521;8019
6813;55477;7845;65521;7892
6829;55366;7716;65521;7762
6846;55264;7609;65521;7639
6863;55180;7505;65521;7524
6879;55140;7439;65521;7464
6896;55165;7442;65521;7467
6913;55141;7418;65521;7460
6929;55022;7364;65521;7406
6946;54866;7317;65521;7354
6963;54670;7263;65521;7277
6979;54557;7211;65521;7228
6996;54545;7222;65521;7234
7013;54563;7231;65521;7260
7030;54620;7254;65521;7284
7046;54653;7236;65521;7277
7063;54672;7224;65521;7245
7080;54618;7139;65521;7169
7095;54577;7059;65521;7098
7112;54548;6987;65521;7008
7129;54448;6867;65521;6891
7145;54313;6693;65521;6727
7162;54198;6575;65521;6607
7179;54048;6433;65521;6449
7195;53943;6283;65521;6329
7212;53808;6136;65521;6158
7229;53588;5933;65521;5950
7245;53474;5778;65521;5796
7262;53358;5657;65521;5683
7279;53338;5610;65521;5634
7295;53370;5611;65521;5647
7312;53328;5545;65521;5556
7329;53125;5355;65521;5368
7345;52939;5117;65521;5160
7362;52744;4915;65521;4939
7379;52655;4824;65521;4848
7395;52653;4779;65521;4819
7412;52602;4704;65521;4714
7429;52511;4613;65521;4634
7445;52423;4537;65521;4560
7462;52240;4430;65521;4447
