Tiempo (ms);IR;AMB_IR;RED;AMB_RED
5014;23864;1118;60680;1110
5031;23877;1097;60702;1094
5048;23928;1114;60798;1105
5063;23955;1087;60828;1077
5080;24031;1122;60971;1107
5097;24053;1125;61015;1100
5113;24067;1113;61008;1107
5130;24071;1130;61025;1117
5147;24044;1099;60988;1090
5163;24069;1121;61004;1097
5180;24079;1108;61026;1086
5197;24124;1130;61103;1127
5213;24139;1122;61125;1100
5230;24185;1122;61215;1114
5247;24209;1097;61265;1083
5263;24275;1116;61344;1093
5280;24315;1109;61443;1095
5297;24380;1123;61540;1117
5313;24431;1128;61598;1101
5330;24475;1133;61707;1122
5347;24519;1131;61769;1118
5363;24547;1119;61804;1091
5380;24593;1129;61889;1112
5397;24636;1136;61953;1119
5413;24668;1129;61989;1102
5430;24699;1131;62060;1115
5447;24733;1118;62103;1109
5463;24759;1123;62135;1091
5480;24791;1123;62207;1113
5497;24843;1140;62290;1124
5513;24882;1137;62335;1093
5530;24924;1123;62438;1112
5547;24973;1117;62512;1104
5563;25031;1118;62614;1088
5580;25097;1127;62719;1116
5597;25130;1113;62770;1101
5613;25167;1136;62818;1101
5630;25087;1114;62676;1105
5647;24905;1134;62373;1122
5663;24633;1127;61858;1094
5680;24360;1122;61409;1106
5697;24117;1129;61076;1110
5713;23981;1131;60818;1099
5730;23900;1124;60685;1120
5747;23836;1117;60617;1109
5763;23814;1119;60594;1090
5780;23815;1109;60587;1100
5797;23825;1116;60619;1103
5813;23861;1113;60695;1087
5830;23936;1121;60808;1111
5847;23992;1123;60901;1111
5863;24019;1125;60972;1089
5880;24055;1131;60995;1112
5897;24049;1121;61002;1110
5913;24049;1130;61014;1109
5930;24034;1101;60982;1089
5947;24075;1127;61030;1118
5963;24058;1105;61052;1079
5980;24133;1132;61117;1115
5997;24169;1129;61180;1113
6013;24201;1135;61268;1106
6030;24257;1134;61348;1125
6047;24308;1131;61415;1114
6064;24321;1125;61500;1096
6079;24413;1138;61587;1126
6096;24451;1146;61670;1134
6113;24450;1109;61694;1090
6129;24534;1133;61785;1123
6146;24569;1126;61858;1120
6163;24581;1130;61913;1104
6179;24633;1115;61961;1104
6196;24677;1135;62041;1127
6213;24690;1131;62089;1105
6229;24741;1132;62141;1117
6246;24759;1112;62180;1098
6263;24795;1132;62252;1105
6279;24866;1132;62333;1133
6296;24885;1121;62397;1108
6313;24945;1136;62494;1112
6329;25013;1131;62575;1123
6346;25066;1132;62686;1126
6363;25095;1129;62734;1105
6379;25123;1119;62768;1109
6396;25119;1134;62733;1118
6413;24975;1130;62534;1117
6429;24764;1124;62096;1109
6446;24486;1108;61645;1106
6463;24207;1113;61261;1093
6479;24091;1138;60989;1131
6496;23986;1139;60834;1128
6513;23908;1127;60754;1111
6529;23894;1121;60715;1105
6546;23885;1119;60720;1111
6563;23889;1127;60747;1111
6579;23952;1134;60824;1129
6596;23991;1130;60909;1127
6613;24030;1131;60978;1120
6629;24065;1135;61019;1121
6646;24060;1122;61016;1117
6663;24040;1121;60994;1109
6679;24039;1116;60971;1113
6696;24031;1113;60981;1112
6713;24052;1116;61013;1118
6729;24066;1117;61039;1097
6746;24102;1127;61104;1123
6763;24127;1103;61151;1108
6779;24185;1135;61218;1130
6796;24220;1136;61283;1133
6813;24231;1091;61328;1113
6829;24291;1133;61398;1120
6846;24320;1124;61443;1115
6863;24346;1102;61504;1118
