Tiempo (ms),IR,AMB_IR,RED,AMB_RED
5014,38227,10408,16713,10400
5031,38323,10417,16829,10407
5048,38382,10424,16951,10415
5063,38420,10429,16995,10413
5080,38437,10445,17006,10430
5097,38434,10456,17000,10433
5113,38449,10456,17006,10449
5130,38460,10453,17041,10446
5147,38497,10458,17094,10450
5163,38518,10454,17133,10447
5180,38566,10462,17202,10453
5197,38617,10478,17275,10470
5213,38665,10483,17342,10474
5230,38716,10476,17449,10471
5247,38786,10485,17548,10473
5263,38843,10484,17635,10474
5280,38886,10488,17696,10473
5297,38935,10497,17765,10485
5313,39003,10506,17868,10494
5330,39065,10505,17983,10500
5347,39125,10498,18055,10489
5363,39175,10515,18129,10510
5380,39226,10522,18207,10507
5397,39287,10535,18288,10523
5413,39355,10547,18380,10533
5430,39409,10557,18489,10549
5447,39477,10559,18560,10552
5463,39529,10584,18648,10571
5480,39605,10621,18733,10612
5497,39685,10660,18833,10652
5513,39772,10705,18963,10692
5530,39865,10737,19094,10726
5547,39983,10768,19224,10761
5563,40083,10819,19385,10806
5580,40195,10867,19518,10856
5597,40270,10911,19606,10902
5613,40216,10932,19473,10924
5630,39950,10921,19010,10916
5647,39472,10902,18343,10893
5663,39107,10867,17700,10862
5680,38858,10862,17345,10847
5697,38684,10850,17127,10837
5713,38620,10846,17027,10829
5730,38581,10812,16988,10810
5747,38568,10802,16987,10788
5763,38570,10787,17007,10783
5780,38572,10774,17011,10759
5797,38608,10766,17089,10761
5813,38673,10765,17219,10753
5830,38730,10755,17330,10745
5847,38780,10750,17391,10739
5863,38792,10744,17418,10731
5880,38795,10737,17404,10724
5897,38784,10731,17412,10722
5913,38794,10722,17426,10715
5930,38797,10709,17441,10702
5947,38812,10703,17471,10688
5963,38836,10706,17509,10694
5980,38883,10717,17571,10700
5997,38939,10722,17648,10710
6014,38994,10726,17762,10712
6030,39057,10725,17861,10717
6047,39124,10737,17948,10721
6064,39185,10746,18045,10734
6079,39260,10768,18136,10761
6096,39319,10790,18226,10779
6113,39390,10800,18310,10795
6129,39452,10811,18408,10802
6146,39515,10818,18513,10812
6163,39587,10845,18616,10830
6179,39648,10861,18698,10848
6196,39701,10877,18786,10861
6213,39762,10881,18848,10878
6229,39827,10910,18939,10902
6246,39884,10927,19022,10923
6263,39952,10956,19108,10939
6279,40020,10981,19201,10967
6296,40073,10990,19289,10979
6313,40151,10999,19376,10992
6329,40216,11007,19484,10998
6346,40289,11013,19597,11004
6363,40361,11032,19701,11016
6379,40407,11033,19750,11026
6396,40356,11031,19659,11023
6413,40066,11000,19231,10984
6429,39645,10956,18507,10951
6446,39248,10915,17931,10909
6463,38941,10878,17519,10861
6479,38777,10849,17253,10840
6496,38696,10823,17157,10813
6513,38670,10812,17145,10811
6529,38669,10812,17168,10802
6546,38683,10806,17199,10794
6563,38726,10809,17246,10796
6579,38779,10818,17342,10805
6596,38837,10822,17453,10817
6613,38915,10819,17560,10817
6629,38969,10821,17662,10815
6646,38999,10826,17701,10818
6663,39000,10822,17718,10816
6679,39003,10829,17696,10829
6696,39010,10832,17701,10830
6713,39032,10839,17730,10825
6729,39034,10827,17779,10814
6746,39063,10818,17810,10809
6763,39114,10829,17885,10826
6779,39167,10850,17970,10840
6796,39223,10863,18044,10851
6813,39301,10875,18146,10862
6829,39356,10877,18258,10868
6846,39395,10868,18316,10849
6863,39442,10866,18390,10856
6879,39486,10875,18456,10864
6896,39528,10875,18525,10865
6913,39592,10872,18605,10865
6929,39642,10877,18703,10863
6946,39686,10880,18768,10868
6963,39732,10883,18824,10867
6979,39779,10890,18887,10881
6996,39809,10895,18944,10886
7013,39848,10891,18979,10878
7030,39882,10891,19061,10872
7046,39924,10889,19132,10883
7063,39981,10896,19201,10887
7080,40036,10911,19296,10906
7095,40095,10924,19355,10909
7112,40146,10917,19439,10911
7129,40221,10922,19549,10917
7145,40283,10939,19645,10922
7162,40327,10949,19698,10939
7179,40253,10954,19584,10947
7195,39983,10932,19160,10925
7212,39590,10890,18485,10879
7229,39196,10838,17958,10825
7245,38945,10790,17580,10787
7262,38815,10776,17388,10760
7279,38760,10771,17331,10756
7295,38745,10756,17321,10742
7312,38734,10731,17330,10721
7329,38759,10715,17376,10708
7345,38806,10705,17484,10687
7362,38883,10705,17621,10692
7379,38975,10718,17750,10707
7395,39018,10715,17831,10698
7412,39012,10690,17833,10677
7429,39001,10672,17809,10663
7445,38974,10652,17774,10647
7462,38977,10660,17789,10642
7479,38988,10660,17803,10654
7495,38985,10638,17818,10626
7512,38986,10617,17834,10613
7529,39004,10604,17862,10592
7545,39016,10582,17905,10571
7562,39046,10562,17960,10547
7579,39078,10545,18039,10536
7595,39107,10522,18087,10512
7612,39112,10493,18111,10483
7629,39127,10469,18137,10460
7645,39144,10444,18199,10438
7662,39194,10435,18276,10424
7679,39240,10433,18358,10424
7695,39273,10425,18420,10412
7712,39293,10415,18469,10402
7729,39327,10401,18503,10382
7745,39347,10389,18547,10380
7762,39389,10394,18605,10373
7779,39420,10386,18663,10384
7795,39445,10374,18708,10357
7812,39448,10338,18732,10333
7829,39470,10317,18771,10314
7845,39485,10292,18808,10286
7862,39506,10286,18836,10272
7879,39551,10280,18920,10265
7895,39602,10267,19020,10249
7912,39638,10253,19096,10241
7929,39641,10227,19080,10221
7945,39485,10206,18797,10210
7962,39158,10189,18252,10174
7979,38731,10153,17675,10139
7995,38400,10099,17117,10094
8012,38147,10056,16777,10039
8029,37986,10018,16566,10004
8046,37911,9983,16469,9981
8062,37892,9982,16454,9971
8079,37885,9975,16473,9967
8096,37899,9967,16497,9955
8111,37908,9963,16523,9952
8128,37941,9951,16589,9946
8145,38012,9957,16701,9947
8161,38077,9964,16794,9958
8178,38113,9967,16863,9962
8195,38123,9961,16885,9957
8211,38106,9958,16857,9940
8228,38085,9944,16827,9932
8245,38084,9943,16809,9931
8261,38106,9953,16854,9938
8278,38141,9962,16919,9951
8295,38178,9965,16963,9957
8311,38201,9958,17009,9944
8328,38239,9953,17066,9939
8345,38287,9959,17136,9949
8361,38349,9971,17241,9964
8378,38417,9993,17340,9981
8395,38477,9995,17417,9991
8411,38508,9999,17479,9983
8428,38549,9991,17543,9983
8445,38592,9988,17597,9982
8461,38637,10007,17675,9996
8478,38696,10022,17765,10006
8495,38745,10015,17827,10009
8511,38762,9999,17877,9990
8528,38782,9994,17911,9983
8545,38814,10000,17950,9992
8561,38864,10017,18017,10008
8578,38904,10022,18093,10013
8595,38948,10017,18147,10001
8611,38973,9999,18213,9991
8628,39001,9981,18254,9963
8645,39040,9965,18315,9955
8661,39095,9979,18399,9974
8678,39150,9998,18476,9990
8695,39170,10036,18486,10021
8711,39022,10039,18173,10033
8728,38692,10020,17640,10014
8745,38294,9986,17093,9982
8761,38028,9979,16628,9969
8778,37849,9951,16380,9942
8795,37722,9927,16237,9913
8811,37665,9898,16163,9901
8828,37618,9884,16109,9866
8845,37582,9847,16079,9847
8861,37594,9847,16106,9843
8878,37627,9842,16172,9847
8895,37692,9862,16275,9837
8911,37755,9857,16393,9850
8928,37803,9860,16456,9861
8945,37840,9876,16509,9866
8961,37874,9898,16541,9891
8978,37891,9913,16571,9901
8995,37903,9917,16583,9905
9011,37911,9916,16605,9907
9028,37916,9916,16600,9903
9045,37941,9910,16647,9899
9062,37983,9924,16718,9916
9078,38030,9927,16793,9916
9095,38073,9920,16856,9911
9112,38104,9911,16913,9903
9127,38134,9910,16960,9892
9144,38190,9909,17043,9901
9161,38251,9932,17134,9915
9177,38293,9923,17210,9914
9194,38323,9917,17264,9913
9211,38348,9908,17296,9898
9227,38372,9900,17354,9879
9244,38424,9901,17428,9882
9261,38482,9911,17502,9904
9277,38499,9903,17540,9904
9294,38510,9897,17567,9888
9311,38538,9891,17600,9877
9327,38569,9894,17657,9882
9344,38623,9908,17722,9891
9361,38688,9926,17814,9919
9377,38735,9933,17895,9925
9394,38774,9933,17958,9929
9411,38832,9945,18035,9931
9427,38895,9954,18137,9937
9444,38950,9978,18212,9956
9461,38947,9984,18196,9979
9477,38806,9988,17915,9979
9494,38501,9955,17422,9945
9511,38142,9925,16913,9912
9527,37880,9893,16477,9884
9544,37707,9879,16240,9865
9561,37599,9870,16108,9855
9577,37550,9848,16042,9841
9594,37509,9823,16002,9822
9611,37512,9818,16016,9801
9627,37529,9808,16077,9795
9644,37585,9813,16169,9793
9661,37665,9823,16275,9814
9677,37724,9824,16392,9820
9694,37752,9819,16439,9812
9711,37768,9817,16451,9801
9727,37760,9818,16445,9809
9744,37767,9815,16457,9804
9761,37780,9831,16479,9814
9777,37794,9835,16509,9822
9794,37810,9823,16525,9825
9811,37835,9833,16556,9823
9827,37866,9836,16620,9820
9844,37908,9852,16685,9839
9861,37967,9863,16759,9851
9877,38026,9878,16852,9864
9894,38060,9873,16909,9869
9911,38110,9891,16976,9872
9927,38156,9893,17049,9883
9944,38211,9904,17125,9896
9961,38271,9923,17201,9910
9977,38320,9934,17284,9918
9994,38348,9925,17332,9923
10011,38381,9932,17365,9916
10027,38410,9933,17426,9922
10044,38460,9944,17498,9930
10061,38508,9955,17561,9951
10078,38528,9961,17603,9956
10094,38563,9960,17629,9954
10111,38594,9970,17681,9955
10128,38644,9967,17783,9960
10143,38705,9979,17866,9972
10160,38755,9986,17934,9986
10177,38795,9995,17988,9977
10193,38835,10004,18069,9982
10210,38858,10008,18097,9997
10227,38773,10011,17956,9999
10243,38533,9999,17520,9994
10260,38217,9976,17008,9958
10277,37882,9939,16538,9929
10293,37655,9903,16183,9888
10310,37520,9884,16005,9875
10327,37436,9863,15923,9859
10343,37425,9868,15892,9857
10360,37418,9865,15889,9860
10377,37415,9861,15895,9855
10393,37432,9845,15949,9840
10410,37488,9856,16040,9848
10427,37577,9868,16179,9860
10443,37637,9881,16281,9881
10460,37680,9897,16334,9890
10477,37692,9898,16345,9885
10493,37690,9901,16339,9881
10510,37685,9888,16335,9889
10527,37684,9898,16339,9886
10543,37708,9900,16370,9897
10560,37746,9912,16421,9894
10577,37787,9913,16477,9904
10593,37828,9921,16556,9908
10610,37867,9925,16617,9915
10627,37911,9921,16685,9909
10643,37964,9941,16762,9934
10660,38014,9946,16841,9933
10677,38062,9940,16911,9930
10693,38094,9930,16970,9917
10710,38131,9936,17029,9927
10727,38177,9937,17093,9933
10743,38238,9953,17175,9947
10760,38283,9965,17256,9955
10777,38324,9967,17299,9957
10793,38357,9980,17367,9966
10810,38397,9979,17412,9972
10827,38449,9998,17480,9984
10843,38513,10029,17564,10017
10860,38561,10051,17647,10033
10877,38626,10059,17730,10046
10893,38673,10057,17803,10042
10910,38711,10056,17870,10040
10927,38775,10060,17956,10049
10943,38827,10082,18040,10068
10960,38848,10096,18060,10081
10977,38761,10089,17913,10077
10993,38501,10056,17453,10048
11010,38110,10017,16914,10005
11027,37803,9986,16431,9976
11043,37580,9964,16048,9950
11060,37411,9952,15835,9938
11077,37322,9931,15718,9918
11094,37261,9913,15634,9902
11110,37229,9900,15606,9893
11127,37205,9888,15584,9887
11144,37207,9880,15585,9878
11159,37239,9897,15650,9874
11176,37268,9877,15726,9869
11193,37318,9856,15798,9849
11209,37357,9849,15880,9849
11226,37385,9849,15932,9838
11243,37390,9849,15936,9840
11259,37371,9841,15913,9829
11276,37353,9803,15887,9802
11293,37323,9768,15875,9760
11309,37301,9725,15871,9718
11326,37292,9685,15876,9662
11343,37277,9631,15892,9622
11359,37265,9581,15900,9573
11376,37248,9528,15916,9513
11393,37256,9478,15951,9473
11409,37260,9438,15987,9422
11426,37287,9410,16029,9398
11443,37298,9380,16061,9378
11459,37297,9344,16092,9343
11476,37259,9274,16086,9263
11493,37242,9204,16088,9203
11509,37265,9192,16126,9181
11526,37299,9191,16188,9184
11543,37352,9205,16258,9194
11559,37400,9225,16333,9214
11576,37441,9242,16398,9240
11593,37503,9261,16449,9248
11609,37538,9268,16525,9263
11626,37607,9294,16615,9271
11643,37671,9302,16707,9296
11659,37727,9320,16811,9312
11676,37776,9320,16880,9320
11693,37846,9327,16965,9323
11709,37891,9347,17044,9335
11726,37934,9363,17067,9350
11743,37880,9378,16981,9376
11759,37671,9393,16587,9383
11776,37389,9387,16121,9385
11793,37076,9380,15685,9367
11809,36870,9378,15317,9369
11826,36749,9388,15142,9380
11843,36674,9413,15053,9405
11859,36656,9424,15024,9420
11876,36650,9438,15013,9430
11893,36655,9450,15019,9432
11909,36669,9455,15049,9447
11926,36737,9480,15137,9473
11943,36839,9526,15291,9518
11959,36942,9564,15458,9547
11976,37030,9582,15569,9580
11993,37077,9611,15636,9606
12009,37110,9636,15676,9632
12026,37144,9667,15709,9654
12043,37174,9692,15746,9688
12059,37203,9714,15781,9709
12076,37252,9726,15844,9725
12093,37297,9744,15919,9735
12110,37340,9749,15992,9733
12126,37379,9756,16068,9743
12143,37439,9768,16150,9762
12160,37511,9795,16254,9782
12175,37567,9797,16355,9779
12192,37623,9813,16443,9810
12209,37692,9820,16513,9815
12225,37746,9837,16605,9833
12242,37803,9864,16676,9856
12259,37853,9874,16746,9857
12275,37910,9880,16841,9871
12292,37949,9903,16914,9893
12309,37998,9905,16970,9893
12325,38037,9916,17019,9913
12342,38078,9926,17071,9915
12359,38109,9920,17124,9917
12375,38130,9911,17179,9906
12392,38156,9906,17225,9903
12409,38193,9892,17268,9890
12425,38219,9886,17325,9883
12442,38253,9880,17388,9869
12459,38288,9866,17452,9856
12475,38314,9842,17505,9832
12492,38315,9813,17514,9805
12509,38273,9784,17470,9768
12525,38163,9762,17247,9764
12542,37925,9750,16870,9735
12559,37585,9701,16403,9702
12575,37292,9654,15928,9644
12592,37070,9603,15612,9600
12609,36916,9565,15421,9551
12625,36851,9536,15323,9543
12642,36830,9539,15312,9526
12659,36819,9517,15321,9514
12675,36796,9494,15316,9478
12692,36818,9474,15375,9465
12709,36877,9461,15474,9452
12725,36962,9474,15613,9455
12742,37012,9470,15692,9463
12759,37028,9462,15719,9470
12775,37010,9450,15699,9444
12792,37002,9436,15682,9424
12809,36994,9417,15680,9410
12825,37012,9419,15709,9400
12842,37035,9428,15752,9416
12859,37062,9426,15802,9407
12875,37084,9415,15861,9415
12892,37132,9405,15921,9408
12909,37168,9403,15981,9396
12925,37232,9425,16079,9404
12942,37293,9434,16172,9429
12959,37336,9437,16237,9433
12975,37361,9424,16304,9429
12992,37413,9418,16353,9414
13009,37439,9419,16410,9400
13025,37489,9425,16501,9403
13042,37550,9451,16570,9433
13059,37596,9461,16646,9444
13075,37611,9443,16699,9443
13092,37652,9436,16731,9428
13109,37662,9425,16767,9417
13126,37705,9439,16820,9416
13142,37752,9451,16893,9435
13159,37797,9453,16962,9437
13176,37824,9433,17023,9443
13191,37858,9440,17079,9425
13208,37904,9440,17149,9429
13225,37977,9446,17246,9445
13241,38040,9467,17351,9452
13258,38084,9464,17403,9462
13275,38058,9450,17374,9434
13291,37909,9427,17105,9427
13308,37623,9396,16636,9382
13325,37283,9383,16161,9377
13341,36998,9363,15666,9352
13358,36783,9331,15359,9321
13375,36616,9293,15145,9276
13391,36536,9263,15040,9259
13408,36497,9264,14991,9245
13425,36488,9266,14992,9263
13441,36480,9275,14975,9261
13458,36476,9263,14990,9257
13475,36516,9253,15045,9234
13491,36560,9246,15158,9240
13508,36620,9242,15253,9235
13525,36689,9263,15344,9253
13541,36723,9268,15394,9263
13558,36725,9268,15384,9260
13575,36706,9250,15359,9237
13591,36706,9243,15376,9235
13608,36728,9248,15400,9236
13625,36781,9266,15475,9262
13641,36828,9286,15550,9273
13658,36873,9291,15615,9285
13675,36907,9285,15663,9274
13691,36955,9283,15748,9282
13708,37017,9296,15841,9286
13725,37100,9318,15953,9312
13741,37160,9338,16049,9329
13758,37215,9351,16119,9341
13775,37238,9348,16158,9331
13791,37270,9330,16220,9330
13808,37324,9343,16294,9333
13825,37399,9367,16403,9359
13841,37462,9384,16494,9378
13858,37497,9387,16555,9378
13875,37517,9376,16580,9372
13891,37534,9372,16606,9367
13908,37556,9363,16654,9357
13925,37635,9395,16750,9383
13941,37696,9411,16857,9398
13958,37760,9414,16938,9401
13975,37788,9406,16984,9388
13991,37824,9388,17062,9388
14008,37881,9398,17121,9382
14025,37946,9414,17231,9407
14041,37977,9429,17264,9419
14058,37867,9428,17101,9421
14075,37590,9396,16662,9387
14091,37251,9351,16070,9339
14108,36913,9314,15614,9300
14125,36700,9286,15280,9278
14142,36564,9270,15051,9248
14158,36479,9255,14957,9244
14175,36426,9239,14904,9227
14192,36395,9215,14863,9214
14207,36374,9211,14838,9210
14224,36405,9234,14879,9217
14241,36448,9240,14950,9235
14257,36518,9242,15076,9221
14274,36571,9228,15178,9232
14291,36639,9232,15255,9226
14307,36678,9242,15329,9240
14324,36723,9264,15364,9256
14341,36732,9276,15389,9269
14357,36741,9280,15402,9259
14374,36734,9265,15409,9253
14391,36767,9260,15443,9243
14407,36819,9266,15523,9265
14424,36885,9292,15631,9285
14441,36941,9299,15714,9298
14457,36983,9308,15785,9285
14474,37022,9296,15848,9291
14491,37078,9299,15922,9283
14507,37144,9304,16029,9291
14524,37221,9340,16130,9329
14541,37283,9356,16225,9346
14557,37323,9363,16284,9356
14574,37356,9354,16343,9346
14591,37413,9363,16415,9342
14607,37473,9366,16497,9351
14624,37535,9390,16596,9380
14641,37589,9407,16664,9398
14657,37627,9414,16727,9411
14674,37663,9397,16773,9397
14691,37691,9408,16817,9389
14707,37734,9409,16881,9388
14724,37794,9437,16977,9423
14741,37865,9449,17067,9442
14757,37913,9453,17166,9446
14774,37973,9440,17238,9427
14791,38015,9431,17315,9417
14807,38066,9432,17382,9418
14824,38089,9447,17413,9450
14841,38022,9452,17300,9445
14857,37787,9441,16878,9432
14874,37442,9395,16381,9391
14891,37137,9357,15913,9345
14907,36934,9341,15549,9319
14924,36799,9342,15386,9330
14941,36737,9335,15311,9329
14957,36700,9321,15278,9320
14974,36690,9303,15261,9291
14991,36689,9288,15277,9271
15007,36735,9288,15347,9280
15024,36812,9324,15477,9309
15041,36898,9335,15612,9324
15057,36955,9333,15726,9328
15074,36991,9315,15762,9311
15091,36987,9311,15758,9302
15107,37012,9317,15769,9294
15124,37025,9338,15808,9329
15141,37054,9341,15847,9341
15158,37053,9344,15867,9343
15174,37088,9330,15897,9324
15191,37108,9330,15938,9318
15208,37171,9344,16018,9326
15223,37225,9370,16105,9361
15240,37277,9382,16199,9367
15257,37323,9380,16265,9362
15273,37368,9379,16348,9361
15290,37412,9367,16422,9364
15307,37488,9390,16523,9388
15323,37545,9422,16605,9409
15340,37606,9440,16688,9430
15357,37648,9437,16740,9426
15373,37703,9437,16849,9426
15390,37754,9443,16925,9438
15407,37822,9460,17011,9464
15423,37880,9496,17087,9476
15440,37914,9510,17133,9495
15457,37950,9513,17178,9492
15473,38015,9528,17289,9523
15490,38090,9551,17379,9537
15507,38165,9582,17487,9574
15523,38231,9605,17575,9596
