Tiempo (ms);IR;AMB_IR;RED;AMB_RED
5014;48947;1063;33282;1023
5031;48932;1036;33254;1002
5048;48912;1010;33245;963
5063;48902;982;33231;953
5080;48947;1010;33253;970
5097;48971;1039;33300;1004
5113;49019;1057;33317;1019
5130;48990;1022;33319;997
5147;48984;994;33287;962
5163;48958;972;33303;948
5180;48998;1005;33315;964
5197;49027;1036;33366;1005
5213;49043;1051;33345;1015
5230;48958;1023;33269;991
5247;48874;985;33166;963
5263;48783;972;33095;942
5280;48759;998;33045;961
5297;48747;1032;33047;994
5313;48766;1048;33032;1013
5330;48725;1012;33016;988
5347;48709;981;32986;951
5363;48696;965;32997;940
5380;48746;991;33008;953
5397;48785;1025;33072;995
5413;48835;1037;33096;1006
5430;48820;1006;33101;979
5447;48816;971;33084;945
5463;48806;958;33099;929
5480;48856;984;33120;948
5497;48878;1018;33174;981
5513;48920;1031;33192;999
5530;48899;998;33165;975
5547;48882;964;33131;936
5563;48865;945;33138;918
5580;48909;972;33175;930
5597;48946;1010;33226;973
5613;48979;1022;33255;987
5630;48954;983;33233;961
5647;48944;955;33198;916
5663;48926;935;33192;906
5680;48969;962;33217;921
5697;48997;995;33270;955
5713;49041;1009;33296;974
5730;49009;972;33279;944
5747;49006;937;33255;914
5763;48960;922;33213;895
5780;48935;946;33177;916
5797;48878;966;33140;946
5813;48842;1000;33074;968
5830;48757;968;32991;938
5847;48706;946;32927;902
5863;48673;914;32908;889
5880;48707;943;32936;905
5897;48740;960;32982;944
5913;48782;995;33007;958
5930;48765;959;32996;934
5947;48774;948;32967;901
5963;48770;909;32993;878
5980;48832;943;33045;905
5997;48864;956;33112;942
6013;48917;992;33133;963
6030;48891;958;33115;935
6047;48884;945;33087;893
6064;48869;905;33072;878
6079;48901;934;33133;915
6096;48952;976;33162;936
6113;48981;967;33181;951
6129;48955;955;33161;914
6146;48940;921;33151;897
6163;48933;926;33172;873
6179;48990;935;33205;908
6196;49044;970;33238;940
6213;49072;973;33264;958
6229;49049;953;33246;921
6246;49027;925;33237;895
6263;49022;932;33248;878
6279;49075;937;33279;916
6296;49129;975;33318;937
6313;49118;970;33307;953
6329;49033;957;33227;917
6346;48944;927;33113;895
6363;48860;929;33052;878
6379;48848;940;33039;913
6396;48867;980;33037;940
6413;48864;967;33023;950
6429;48841;958;33009;922
6446;48816;921;32984;896
6463;48819;929;33007;877
6479;48872;933;33035;909
6496;48939;972;33103;940
6513;48986;969;33138;958
6529;48978;962;33154;923
6546;48965;926;33134;901
6563;48964;932;33148;883
6579;49020;940;33184;919
6596;49075;978;33240;944
6613;49104;985;33259;966
6629;49074;966;33248;928
6646;49054;939;33221;914
6663;49053;925;33232;893
6679;49093;955;33261;935
6696;49147;988;33307;957
6713;49176;1009;33332;978
6729;49158;978;33320;939
6746;49137;946;33301;919
6763;49125;931;33307;900
6779;49173;952;33329;932
6796;49228;995;33384;958
6813;49245;1011;33382;973
6829;49219;972;33377;936
6846;49188;945;33348;915
6863;49143;925;33304;897
6879;49123;957;33257;930
6896;49116;995;33237;955
6913;49073;1004;33192;975
6929;49009;975;33138;934
6946;48964;935;33078;913
6963;48939;922;33080;895
6979;48988;951;33099;927
6996;49039;986;33155;948
7013;49083;1006;33179;973
7030;49064;968;33186;928
7046;49057;937;33168;908
7063;49068;924;33181;893
7080;49118;956;33221;924
7095;49174;991;33300;972
7112;49180;990;33289;973
7129;49170;960;33261;937
7145;49134;943;33222;897
7162;49149;949;33244;896
7179;49167;973;33268;927
7195;49212;984;33324;963
7212;49213;976;33318;964
7229;49202;952;33295;925
7245;49185;924;33256;883
7262;49195;918;33277;872
7279;49219;949;33325;910
7295;49269;972;33361;942
7312;49268;958;33366;945
7329;49261;937;33347;903
7345;49234;904;33325;866
7362;49249;917;33326;864
7379;49244;939;33337;900
7395;49239;958;33304;939
7412;49184;959;33260;944
7429;49107;926;33168;901
7445;49026;907;33094;868
7462;49010;906;33063;858
7479;49018;939;33088;898
7495;49054;955;33109;937
7512;49054;950;33125;940
7529;49055;929;33100;904
7545;49035;897;33084;863
7562;49062;908;33105;858
7579;49100;917;33168;890
7595;49159;952;33201;933
7612;49173;950;33235;937
7629;49174;936;33217;900
7645;49152;896;33205;863
7662;49166;905;33208;854
7679;49189;915;33241;890
7695;49231;952;33273;932
7712;49233;952;33292;936
7729;49226;938;33265;899
7745;49196;906;33243;862
7762;49227;911;33254;854
7779;49241;919;33292;894
7795;49292;955;33331;935
7812;49295;955;33341;943
7829;49293;936;33305;897
7845;49263;905;33296;864
7862;49274;909;33301;856
7879;49297;919;33337;897
7895;49340;956;33359;938
7912;49311;952;33341;945
7929;49235;943;33237;901
7945;49137;909;33133;867
7962;49077;910;33057;858
7979;49044;918;33034;894
7995;49064;963;33053;935
8012;49044;949;33048;935
8029;49039;944;33016;898
8045;49007;907;32996;865
8062;49033;910;33002;861
8079;49065;921;33047;902
8096;49122;963;33100;939
8111;49126;959;33111;926
8128;49124;936;33114;910
8145;49124;905;33083;878
8161;49137;920;33123;895
8178;49175;945;33138;906
8195;49212;983;33187;946
8211;49208;970;33186;937
8228;49182;941;33155;915
8245;49177;908;33125;883
8261;49195;923;33144;894
8278;49235;954;33183;908
8295;49265;995;33241;951
8311;49268;970;33238;937
8328;49249;940;33217;917
8345;49249;908;33181;884
8361;49271;924;33205;895
8378;49314;957;33257;915
8395;49347;992;33316;953
8411;49352;975;33317;933
8428;49309;950;33265;921
8445;49234;927;33158;886
8461;49167;935;33073;901
8478;49111;953;33029;912
8495;49081;975;33017;955
8511;49042;977;32978;940
8528;49005;947;32930;926
8545;48984;928;32882;891
8561;48994;934;32897;902
8578;49038;954;32932;914
8595;49076;974;33004;947
8611;49097;974;33016;938
8628;49091;948;32999;927
8645;49100;932;32986;888
8661;49127;932;33017;900
8678;49175;957;33068;919
8695;49205;980;33125;959
8711;49209;976;33126;938
8728;49187;951;33092;922
8745;49173;929;33065;894
8761;49189;932;33082;900
8778;49230;952;33120;916
8795;49270;982;33182;956
8811;49271;977;33190;940
8828;49260;954;33168;925
8845;49258;931;33144;893
8861;49276;932;33151;898
8878;49318;960;33205;916
8895;49353;974;33268;953
8911;49364;976;33278;940
8928;49346;948;33242;920
8945;49327;929;33198;894
8961;49287;931;33143;901
8978;49237;957;33094;913
8995;49175;979;33064;953
9011;49114;981;32997;944
9028;49053;950;32925;926
9045;49022;930;32873;890
9062;49035;931;32882;903
9078;49081;961;32923;918
9095;49116;981;32985;957
9112;49129;982;32997;964
9127;49122;950;32983;907
9144;49115;918;32969;895
9161;49162;940;33014;901
9177;49219;959;33051;936
9194;49266;995;33114;957
9211;49262;961;33095;939
9227;49237;948;33098;904
9244;49208;911;33066;891
9261;49240;938;33093;897
9277;49280;953;33118;935
9294;49330;994;33173;948
9311;49317;960;33146;938
9327;49299;948;33147;904
9344;49287;910;33119;884
9361;49316;928;33166;896
9377;49373;952;33197;929
9394;49420;991;33251;955
9411;49415;972;33235;937
9427;49398;943;33233;897
9444;49377;904;33209;886
9461;49388;922;33227;895
9477;49379;953;33185;929
9494;49351;993;33161;948
9511;49251;974;33060;936
9527;49177;941;32984;896
9544;49115;909;32922;883
9561;49133;932;32940;892
9577;49169;947;32964;928
9594;49223;989;33017;949
9611;49218;971;33011;933
9627;49211;942;33020;897
9644;49206;905;33001;885
9661;49261;925;33060;893
9677;49309;953;33097;928
9694;49370;987;33168;952
9711;49363;971;33150;938
9727;49347;946;33144;897
9744;49317;907;33110;878
9761;49347;921;33150;888
9777;49376;950;33163;927
9794;49431;988;33214;944
9811;49417;977;33183;937
9827;49395;948;33167;904
9844;49368;908;33139;887
9861;49399;925;33174;895
9877;49446;952;33203;928
9894;49488;994;33262;947
9911;49481;970;33231;935
9927;49465;945;33230;899
9944;49443;905;33206;883
9961;49470;919;33233;888
9977;49506;950;33244;927
9994;49514;988;33258;943
10011;49426;969;33169;933
10027;49330;943;33073;913
10044;49249;902;32978;879
10061;49232;920;32967;889
10077;49254;943;32974;900
10094;49272;980;33014;937
10111;49282;969;32991;927
10128;49258;934;32990;909
10143;49238;899;32964;862
10160;49295;920;33001;884
10177;49344;960;33076;914
10193;49403;980;33115;944
10210;49390;947;33114;924
10227;49383;910;33076;889
10243;49357;895;33075;857
10260;49399;922;33094;873
10277;49423;931;33146;911
10293;49472;972;33177;941
10310;49440;947;33154;923
10327;49435;927;33112;886
10343;49402;894;33099;859
10360;49450;915;33133;876
10377;49475;932;33191;905
10393;49530;970;33214;941
10410;49498;945;33194;918
10427;49492;925;33170;884
10443;49455;888;33162;853
10460;49506;915;33186;879
10477;49534;932;33236;908
10493;49579;967;33261;937
10510;49536;943;33219;913
10527;49475;924;33135;885
10543;49377;888;33042;854
10560;49339;914;32987;870
10577;49311;930;32987;906
10593;49318;970;32975;935
10610;49286;942;32940;917
10627;49271;924;32903;888
10643;49242;888;32883;854
10660;49288;914;32928;872
10677;49322;931;32986;907
10693;49394;971;33033;942
10710;49374;938;33028;913
10727;49383;924;33002;885
10743;49369;887;33016;851
10760;49404;910;33039;874
10777;49437;924;33094;907
10793;49495;970;33125;938
10810;49464;941;33100;913
10827;49448;921;33063;879
10843;49422;885;33059;851
10860;49464;913;33092;873
10877;49499;930;33142;903
10893;49551;968;33172;939
10910;49529;938;33154;914
10927;49520;926;33128;882
10943;49498;888;33119;867
10960;49542;912;33158;875
10977;49568;926;33203;897
10993;49625;971;33236;918
11010;49608;939;33214;915
