Tiempo (ms),IR,AMB_IR,RED,AMB_RED
5014,54525,1090,59896,1058
5031,54528,1083,59914,1045
5048,54534,1084,59910,1050
5063,54496,1059,59877,1024
5080,54504,1086,59841,1049
5097,54430,1065,59765,1031
5113,54396,1082,59722,1055
5130,54355,1086,59676,1050
5147,54336,1078,59652,1046
5163,54340,1086,59626,1050
5180,54350,1089,59683,1053
5197,54379,1090,59691,1060
5213,54411,1092,59734,1061
5230,54434,1093,59770,1056
5247,54463,1083,59774,1051
5263,54480,1076,59809,1046
5280,54510,1087,59857,1050
5297,54546,1095,59894,1059
5313,54566,1095,59914,1060
5330,54570,1087,59949,1058
5347,54584,1069,59956,1040
5363,54612,1083,59974,1048
5380,54624,1087,60015,1049
5397,54646,1099,60031,1062
5413,54663,1096,60040,1059
5430,54651,1065,60034,1035
5447,54682,1095,60079,1061
5463,54685,1072,60104,1050
5480,54712,1097,60125,1059
5497,54725,1102,60125,1069
5513,54738,1107,60150,1066
5530,54735,1093,60148,1057
5547,54736,1092,60130,1062
5563,54708,1095,60107,1064
5580,54663,1104,60036,1065
5597,54606,1104,59976,1072
5613,54560,1095,59910,1064
5630,54532,1093,59872,1059
5647,54540,1102,59884,1069
5663,54542,1089,59906,1057
5680,54589,1112,59953,1068
5697,54597,1089,59960,1062
5713,54649,1118,60031,1079
5730,54662,1100,60054,1067
5747,54708,1108,60083,1080
5763,54721,1107,60116,1069
5780,54741,1104,60146,1069
5797,54743,1081,60171,1052
5813,54781,1109,60168,1068
5830,54798,1113,60215,1080
5847,54814,1114,60219,1076
5863,54824,1105,60212,1076
5880,54835,1109,60255,1074
5897,54862,1116,60286,1081
5913,54856,1096,60286,1071
5930,54870,1098,60298,1059
5947,54881,1089,60322,1068
5963,54909,1106,60349,1075
5980,54939,1120,60390,1085
5997,54960,1128,60405,1097
6013,54962,1129,60430,1089
6030,54951,1095,60392,1069
6047,54967,1133,60410,1097
6064,54915,1116,60316,1079
6079,54858,1113,60292,1088
6096,54838,1139,60224,1102
6113,54789,1120,60190,1090
6129,54787,1125,60188,1093
6146,54796,1132,60208,1099
6163,54820,1130,60247,1094
6179,54847,1139,60257,1100
6196,54886,1142,60302,1101
6213,54891,1127,60323,1084
6229,54925,1124,60356,1082
6246,54941,1110,60386,1082
6263,54977,1115,60428,1089
6279,55006,1133,60444,1094
6296,55039,1149,60527,1111
6313,55063,1140,60551,1108
6329,55067,1138,60550,1097
6346,55088,1141,60579,1106
6363,55109,1138,60575,1108
6379,55126,1151,60622,1114
6396,55133,1143,60630,1107
6413,55164,1157,60661,1124
6429,55173,1159,60677,1120
6446,55179,1147,60685,1118
6463,55182,1132,60699,1100
6479,55231,1171,60746,1135
6496,55250,1172,60758,1142
6513,55226,1155,60752,1118
6529,55242,1174,60742,1139
6546,55173,1140,60639,1108
6563,55113,1132,60590,1106
6579,55063,1135,60509,1098
6596,55040,1149,60482,1117
6613,55015,1135,60446,1109
6629,55030,1156,60477,1119
6646,55035,1153,60482,1119
6663,55036,1130,60448,1086
6679,55094,1162,60548,1125
6696,55095,1138,60554,1102
6713,55152,1163,60610,1132
6729,55146,1131,60610,1098
6746,55172,1141,60658,1106
6763,55212,1162,60706,1122
6779,55236,1167,60724,1133
6796,55243,1152,60748,1122
6813,55268,1163,60773,1123
